Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR30861166_1	0.4806619053194396	4.75541505678492
SRR30861166_2	0.40088982554735986	1.1258634820278655
SRR30861167_1	0.23616704759373036	0.4674826965688467
SRR30861167_2	0.0	0.0
SRR30861168_1	0.10682660275120441	0.0
SRR30861168_2	0.0	0.0
SRR30861169_1	0.12780948791250407	0.34059350366518976
SRR30861169_2	0.0	0.0
SRR30861170_1	0.2794390291626285	1.998741858002467
SRR30861170_2	0.15051040653823766	0.0
SRR30861171_1	0.0	0.0
SRR30861171_2	0.0	0.0
