Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR30861166_1	(1, 0.027163095656246344)	(2, 0.0007805487257542053)	(3, 0.0009366584709050462)	(4, 0.0004683292354525231)	(5, 0.0010927682160558872)	(6, 0.015454864769933263)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.00015610974515084105)	(20, 0.0)	(22, 0.0)	(24, 0.001795262069234672)	(26, 0.004605237481949811)	(28, 0.00444912773679897)	(30, 0.004058853373921868)	(32, 0.007181048276938688)	(34, 0.007571322639815791)	(36, 0.0021855364321117744)	(38, 0.0016391523240838308)	(40, 0.0003122194903016821)	(42, 0.0014049877063575693)	(44, 0.00015610974515084105)	(46, 0.0008586035983296256)	(48, 0.0007805487257542053)	(50, 0.0009366584709050462)	(52, 0.0018733169418100925)	(54, 0.0024197010498380363)	(56, 0.0028099754127151387)	(58, 0.002888030285290559)	(60, 0.0033563595207430825)	(62, 0.004293017991648129)	(64, 0.004214963119072708)	(66, 0.004917456972251493)	(68, 0.004058853373921868)	(70, 0.0016391523240838308)	(72, 0.0008586035983296256)	(74, 0.001170823088631308)	(76, 0.0039027436287710263)
SRR30861166_2	(1, 0.025289778714436245)	(2, 0.03262693673652577)	(3, 0.034031924442883346)	(4, 0.03746633883620185)	(5, 0.03496858291378839)	(6, 0.02372868126292784)	(7, 0.02497755922413457)	(8, 0.026382546930492135)	(9, 0.03137805877531905)	(10, 0.03442219880576045)	(12, 0.03153416852046989)	(14, 0.03496858291378839)	(16, 0.035905241384693434)	(18, 0.038559107052257735)	(20, 0.0369199547281739)	(22, 0.04004214963119073)	(24, 0.0410568629746712)	(26, 0.04035436912149241)	(28, 0.04277407017133045)	(30, 0.04129102759239745)	(32, 0.04090075322952035)	(34, 0.042696015298755025)	(36, 0.04277407017133045)	(38, 0.040978808102095775)	(40, 0.04386683838738633)	(42, 0.0426179604261796)	(44, 0.042696015298755025)	(46, 0.04168130195527456)	(48, 0.040744643484369514)	(50, 0.0410568629746712)	(52, 0.04004214963119073)	(54, 0.04043242399406783)	(56, 0.0422276860633025)	(58, 0.04253990555360418)	(60, 0.043554618897084646)	(62, 0.044881551730866796)	(64, 0.04472544198571596)	(66, 0.04589626507434726)	(68, 0.04776958201615736)	(70, 0.048394020996760725)	(72, 0.050501502556297075)	(74, 0.04956484408539203)	(76, 0.049018459977364086)
SRR30861167_1	(1, 0.029071191090792665)	(2, 0.0007286945151098199)	(3, 0.0004529722661493475)	(4, 0.00038951238345209593)	(5, 0.0011313365294647955)	(6, 0.018066372122362385)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.00010613118313161041)	(16, 9.409568813730408e-05)	(18, 0.0002943225594062186)	(20, 3.28240772571991e-06)	(22, 2.2976854080039366e-05)	(24, 0.0014803658842996793)	(26, 0.004148963365309966)	(28, 0.004546134700122075)	(30, 0.0037003676427949115)	(32, 0.007430276955121302)	(34, 0.006981681232606248)	(36, 0.0027944231104962166)	(38, 0.0017692177641630315)	(40, 0.00042124232480072175)	(42, 0.0012495032075907123)	(44, 0.0003205818212119778)	(46, 0.0005492562261037983)	(48, 0.0010120757154303056)	(50, 0.001129148257647649)	(52, 0.002369898377969775)	(54, 0.0025176067256271707)	(56, 0.0030055913408508638)	(58, 0.003624872265103354)	(60, 0.0035176469460631702)	(62, 0.004412650119276132)	(64, 0.005294523661586214)	(66, 0.005688412588672604)	(68, 0.004949870850385623)	(70, 0.0016762162119343005)	(72, 0.0010525587440475177)	(74, 0.0014573890302196398)	(76, 0.004166469539847138)
SRR30861167_2	(1, 0.03192907408398614)	(2, 0.03805185862836234)	(3, 0.03843918273999729)	(4, 0.04171940219390005)	(5, 0.040060692156502924)	(6, 0.025642169153323936)	(7, 0.027377468704321194)	(8, 0.028099598403979575)	(9, 0.034456528032790465)	(10, 0.0370003940202234)	(12, 0.033889765632149495)	(14, 0.037729088535333216)	(16, 0.03824880309190554)	(18, 0.04053335886900659)	(20, 0.039331997641393106)	(22, 0.04216690378050653)	(24, 0.04250280350443854)	(26, 0.042018101296940565)	(28, 0.0443157867049445)	(30, 0.04270193623979888)	(32, 0.04291201033424495)	(34, 0.04511997659774587)	(36, 0.04574144579381551)	(38, 0.04356083292802892)	(40, 0.04620645355495917)	(42, 0.0449635151628199)	(44, 0.04579287018151846)	(46, 0.044525860799390575)	(48, 0.04370854127568632)	(50, 0.044770947242910995)	(52, 0.042635193949375906)	(54, 0.04335841778494286)	(56, 0.046141899536353344)	(58, 0.045243613955414666)	(60, 0.046564235997062636)	(62, 0.0478323395150991)	(64, 0.047520510781155705)	(66, 0.04835095993576284)	(68, 0.04994183354682843)	(70, 0.04998888139089708)	(72, 0.0522417072266495)	(74, 0.05242333378747268)	(76, 0.05141125807204237)
SRR30861168_1	(1, 0.028091005213428024)	(2, 0.0007219975278400732)	(3, 0.00046197743914242444)	(4, 0.0004114881015312306)	(5, 0.0011259122287296246)	(6, 0.017899732416608527)	(7, 0.0)	(8, 2.5244668805596964e-06)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 8.835634081958938e-05)	(16, 8.204517361819013e-05)	(18, 0.00025307780477610957)	(20, 6.9422839215391644e-06)	(22, 2.7138018966016735e-05)	(24, 0.00141370145311343)	(26, 0.004015164573530198)	(28, 0.004436750542583666)	(30, 0.003583480736954489)	(32, 0.007406785827562149)	(34, 0.006936603871057907)	(36, 0.0026670992593113194)	(38, 0.001528564696178896)	(40, 0.0003584742970394769)	(42, 0.0010937252760024885)	(44, 0.00025875785525736886)	(46, 0.0004506173381799058)	(48, 0.0008703099570729554)	(50, 0.0009914843673398208)	(52, 0.002045449289973494)	(54, 0.002204490703448755)	(56, 0.002655108041628661)	(58, 0.0031088809634092665)	(60, 0.0030211557393098167)	(62, 0.003897145746864032)	(64, 0.004667739262154879)	(66, 0.005064711679122891)	(68, 0.00432630511655918)	(70, 0.0014509373396016855)	(72, 0.000981386499817582)	(74, 0.0014275860209565084)	(76, 0.004128765583155384)
SRR30861168_2	(1, 0.031235228713165124)	(2, 0.03686983879057437)	(3, 0.03744794170622254)	(4, 0.04051895566642341)	(5, 0.03865211240824951)	(6, 0.025167672565739898)	(7, 0.026720219697284105)	(8, 0.027510377830899296)	(9, 0.03363473448313711)	(10, 0.036491168758490414)	(12, 0.033208099580322524)	(14, 0.03717277481624153)	(16, 0.03781335828718355)	(18, 0.03999702213886769)	(20, 0.038862905392776245)	(22, 0.04167642373116003)	(24, 0.04206077381372524)	(26, 0.04166632586363779)	(28, 0.04374459322305856)	(30, 0.04217879264039141)	(32, 0.04240662577636192)	(34, 0.04455684044187864)	(36, 0.04519805502954081)	(38, 0.0430560448813859)	(40, 0.04569726835517148)	(42, 0.044298082586621275)	(44, 0.044959492909327915)	(46, 0.04376163337450234)	(48, 0.043132410004522836)	(50, 0.04399199097735341)	(52, 0.04200397330891265)	(54, 0.04273606870427496)	(56, 0.045398750146545305)	(58, 0.04466034358398159)	(60, 0.04602481793292411)	(62, 0.04716777031309751)	(64, 0.046678023738268924)	(66, 0.04768149932329141)	(68, 0.049052915956155456)	(70, 0.04908384067544232)	(72, 0.051324936148659184)	(74, 0.05158621847079712)	(76, 0.05038962116941183)
SRR30861169_1	(1, 0.028036770656824358)	(2, 0.0006431373914110247)	(3, 0.0005125001087806603)	(4, 0.0004180393044171661)	(5, 0.0012099022175919903)	(6, 0.017855101829048575)	(7, 0.0)	(8, 2.0098043481594526e-06)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 8.4411782622697e-05)	(16, 0.00010551472827837124)	(18, 0.0002592647609125693)	(20, 9.044119566717535e-06)	(22, 3.215686957055124e-05)	(24, 0.0014440444241525666)	(26, 0.004118089109378718)	(28, 0.004641643142074255)	(30, 0.003841741011506793)	(32, 0.0075076241425496345)	(34, 0.007177011327277404)	(36, 0.002802672163508356)	(38, 0.0016299513263573157)	(40, 0.0004059804783282094)	(42, 0.0011616669132361633)	(44, 0.00025625005439033015)	(46, 0.0004532108805099565)	(48, 0.0009084315653680725)	(50, 0.0010762502284393867)	(52, 0.0021906867394938033)	(54, 0.002317304413427849)	(56, 0.0028046819678565157)	(58, 0.003349338946207727)	(60, 0.00322875068531816)	(62, 0.0040507606637153765)	(64, 0.004912966729075781)	(66, 0.005381251142196933)	(68, 0.004599437250762907)	(70, 0.001548554250256858)	(72, 0.0009837992284240519)	(74, 0.0014882601198120745)	(76, 0.0041844126528679795)
SRR30861169_2	(1, 0.03159814396176291)	(2, 0.03736025302793606)	(3, 0.037776282528005065)	(4, 0.04082917533285927)	(5, 0.03925750833259858)	(6, 0.02506226022154837)	(7, 0.026804760591402615)	(8, 0.027572505852399527)	(9, 0.033571771831655495)	(10, 0.03654226265823516)	(12, 0.033193928614201514)	(14, 0.03718238534312395)	(16, 0.03772101290843068)	(18, 0.03999410162619902)	(20, 0.038843488636877734)	(22, 0.04172956768083471)	(24, 0.042025008920014144)	(26, 0.041590891180811704)	(28, 0.04370922496377177)	(30, 0.04205817069175878)	(32, 0.0423294942787603)	(34, 0.04447194571389828)	(36, 0.04511910271400563)	(38, 0.04292138165929327)	(40, 0.04555724006190438)	(42, 0.044320205485612246)	(44, 0.044992485040071584)	(46, 0.04374841614856088)	(48, 0.0430781463984497)	(50, 0.04400165149642897)	(52, 0.04195969027869896)	(54, 0.04282792575710385)	(56, 0.04544368611623338)	(58, 0.04468699477915134)	(60, 0.046111946061996395)	(62, 0.04729270611654007)	(64, 0.04687165210560067)	(66, 0.04781626014923561)	(68, 0.049244226138602895)	(70, 0.049268343790780815)	(72, 0.05164393253030529)	(74, 0.0518117511933766)	(76, 0.0507656480301596)
SRR30861170_1	(1, 0.02781062965605777)	(2, 0.0007706517433609501)	(3, 0.000456027866484232)	(4, 0.00046309806596460764)	(5, 0.0011276968171199224)	(6, 0.017838113288987864)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 9.368014311497787e-05)	(16, 8.307484389441435e-05)	(18, 0.0002845755290851215)	(20, 5.302649610281767e-06)	(22, 3.3583447531784526e-05)	(24, 0.0014599961926975798)	(26, 0.004139601795759966)	(28, 0.004567348864322695)	(30, 0.0037613461235598664)	(32, 0.007471433300887009)	(34, 0.006981821986870994)	(36, 0.0028581281399418725)	(38, 0.0017233611233415742)	(40, 0.00034113712492812696)	(42, 0.001113556418159171)	(44, 0.00022978148311220988)	(46, 0.0004259795186926353)	(48, 0.0009191259324488395)	(50, 0.001067600121536729)	(52, 0.0022200426368379662)	(54, 0.0022942797313819114)	(56, 0.002840452641240933)	(58, 0.0033583447531784524)	(60, 0.0033106209066859167)	(62, 0.004233281938874944)	(64, 0.0050233767308069275)	(66, 0.005490009896511723)	(68, 0.0046822396058788)	(70, 0.0015748869342536848)	(72, 0.001021643824914287)	(74, 0.001504184939449928)	(76, 0.004394128977053491)
SRR30861170_2	(1, 0.031511879084034446)	(2, 0.03710794197275181)	(3, 0.0375462943405351)	(4, 0.04069253310930228)	(5, 0.039144159423100004)	(6, 0.025304243940264592)	(7, 0.027047048112177202)	(8, 0.027754068060214767)	(9, 0.03386272041125936)	(10, 0.036563536612762876)	(12, 0.03326528855516762)	(14, 0.03723874066313875)	(16, 0.03784677781845106)	(18, 0.040199386695546076)	(20, 0.03898861503453174)	(22, 0.042005822662782064)	(24, 0.042272722693166245)	(26, 0.041825532576032484)	(28, 0.04405264541235083)	(30, 0.04235402998719057)	(32, 0.04262976776692522)	(34, 0.044727849462726704)	(36, 0.04535356211673995)	(38, 0.04312114663081133)	(40, 0.04590503767620926)	(42, 0.04474022231181736)	(44, 0.04543840451050446)	(46, 0.044194049401958334)	(48, 0.043517077801712364)	(50, 0.04428065934559294)	(52, 0.042373473035761604)	(54, 0.04306458503496832)	(56, 0.04559571644894282)	(58, 0.04498060909415014)	(60, 0.046219661553085975)	(62, 0.04735619611955637)	(64, 0.04702389674397871)	(66, 0.047962465724998585)	(68, 0.049146724137961506)	(70, 0.04926868507899799)	(72, 0.051658412503364975)	(74, 0.05181749199167343)	(76, 0.05061909317974975)
