Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR30861166_1	(0.0, 77.0)	(1.0, 50.0)	(2.0, 19.5)	(3.0, 13.5)	(4.0, 11.0)	(5.0, 13.5)	(6.0, 15.0)	(7.0, 16.5)	(8.0, 19.0)	(9.0, 23.0)	(10.0, 26.5)	(11.0, 26.0)	(12.0, 26.0)	(13.0, 30.5)	(14.0, 48.5)	(15.0, 75.5)	(16.0, 131.0)	(17.0, 173.0)	(18.0, 216.5)	(19.0, 325.5)	(20.0, 494.0)	(21.0, 597.0)	(22.0, 768.0)	(23.0, 1203.0)	(24.0, 1745.0)	(25.0, 2023.0)	(26.0, 2392.5)	(27.0, 3230.0)	(28.0, 4348.5)	(29.0, 4999.0)	(30.0, 5639.0)	(31.0, 7263.0)	(32.0, 9060.5)	(33.0, 9874.0)	(34.0, 10737.0)	(35.0, 12523.5)	(36.0, 14466.5)	(37.0, 15486.0)	(38.0, 16405.5)	(39.0, 17910.5)	(40.0, 19654.0)	(41.0, 21358.0)	(42.0, 21904.0)	(43.0, 23102.0)	(44.0, 26314.5)	(45.0, 28306.0)	(46.0, 28283.0)	(47.0, 27964.5)	(48.0, 26901.0)	(49.0, 25441.0)	(50.0, 24726.0)	(51.0, 24789.0)	(52.0, 23628.5)	(53.0, 22103.0)	(54.0, 21801.0)	(55.0, 22964.5)	(56.0, 26109.0)	(57.0, 25999.5)	(58.0, 23909.0)	(59.0, 22588.0)	(60.0, 20619.0)	(61.0, 19315.0)	(62.0, 18659.0)	(63.0, 17251.5)	(64.0, 13808.0)	(65.0, 11880.0)	(66.0, 10343.0)	(67.0, 8698.0)	(68.0, 8196.0)	(69.0, 7222.5)	(70.0, 5388.5)	(71.0, 4026.0)	(72.0, 4074.0)	(73.0, 4215.5)	(74.0, 4419.5)	(75.0, 4530.0)	(76.0, 4703.0)	(77.0, 4997.5)	(78.0, 4277.0)	(79.0, 3435.0)	(80.0, 4022.0)	(81.0, 4767.5)	(82.0, 4076.0)	(83.0, 3226.0)	(84.0, 2876.5)	(85.0, 2194.5)	(86.0, 1621.5)	(87.0, 1381.0)	(88.0, 1264.5)	(89.0, 972.0)	(90.0, 634.0)	(91.0, 328.5)	(92.0, 185.0)	(93.0, 192.0)	(94.0, 218.0)	(95.0, 135.5)	(96.0, 34.0)	(97.0, 29.5)	(98.0, 19.0)	(99.0, 21.0)	(100.0, 29.0)
SRR30861166_2	(0.0, 266.0)	(1.0, 218.5)	(2.0, 162.5)	(3.0, 177.5)	(4.0, 201.0)	(5.0, 205.5)	(6.0, 236.0)	(7.0, 263.5)	(8.0, 265.0)	(9.0, 284.5)	(10.0, 322.5)	(11.0, 368.0)	(12.0, 395.0)	(13.0, 397.0)	(14.0, 462.5)	(15.0, 554.0)	(16.0, 651.5)	(17.0, 721.0)	(18.0, 780.0)	(19.0, 961.0)	(20.0, 1162.5)	(21.0, 1242.0)	(22.0, 1398.0)	(23.0, 1790.5)	(24.0, 2322.5)	(25.0, 2618.0)	(26.0, 3026.0)	(27.0, 3869.0)	(28.0, 4883.0)	(29.0, 5462.0)	(30.0, 6158.5)	(31.0, 7664.5)	(32.0, 9326.5)	(33.0, 10179.0)	(34.0, 10883.0)	(35.0, 12479.0)	(36.0, 14242.5)	(37.0, 15114.0)	(38.0, 16382.5)	(39.0, 18769.0)	(40.0, 20170.5)	(41.0, 21161.5)	(42.0, 21869.0)	(43.0, 23657.0)	(44.0, 25015.0)	(45.0, 24168.5)	(46.0, 23752.0)	(47.0, 23665.0)	(48.0, 23588.5)	(49.0, 22551.0)	(50.0, 21503.0)	(51.0, 21555.0)	(52.0, 21081.5)	(53.0, 20639.0)	(54.0, 20722.0)	(55.0, 20586.5)	(56.0, 21206.5)	(57.0, 21960.0)	(58.0, 21958.0)	(59.0, 23321.0)	(60.0, 23086.0)	(61.0, 21225.0)	(62.0, 20962.0)	(63.0, 18935.0)	(64.0, 14870.0)	(65.0, 12532.0)	(66.0, 10504.0)	(67.0, 8776.0)	(68.0, 8122.5)	(69.0, 7028.5)	(70.0, 6190.0)	(71.0, 5792.0)	(72.0, 5435.5)	(73.0, 4939.5)	(74.0, 5134.0)	(75.0, 5468.0)	(76.0, 5501.0)	(77.0, 5296.5)	(78.0, 4847.0)	(79.0, 4635.0)	(80.0, 4766.0)	(81.0, 4679.5)	(82.0, 4100.0)	(83.0, 3738.0)	(84.0, 3346.0)	(85.0, 2834.5)	(86.0, 2621.0)	(87.0, 2527.0)	(88.0, 2289.5)	(89.0, 1695.5)	(90.0, 1218.0)	(91.0, 1015.5)	(92.0, 934.0)	(93.0, 835.5)	(94.0, 721.5)	(95.0, 614.0)	(96.0, 522.0)	(97.0, 507.0)	(98.0, 408.0)	(99.0, 289.0)	(100.0, 254.0)
SRR30861167_1	(0.0, 494.0)	(1.0, 750.5)	(2.0, 1171.5)	(3.0, 1616.5)	(4.0, 1897.0)	(5.0, 1913.0)	(6.0, 1888.5)	(7.0, 1914.0)	(8.0, 1980.0)	(9.0, 2226.5)	(10.0, 2656.0)	(11.0, 3398.5)	(12.0, 3958.0)	(13.0, 4946.0)	(14.0, 7706.5)	(15.0, 12874.5)	(16.0, 21484.5)	(17.0, 26699.0)	(18.0, 35222.0)	(19.0, 58614.0)	(20.0, 93071.5)	(21.0, 112660.0)	(22.0, 140316.0)	(23.0, 210675.0)	(24.0, 304341.0)	(25.0, 355304.0)	(26.0, 421394.5)	(27.0, 564563.5)	(28.0, 729583.5)	(29.0, 817525.0)	(30.0, 925007.5)	(31.0, 1138414.5)	(32.0, 1361972.0)	(33.0, 1479605.0)	(34.0, 1584787.5)	(35.0, 1772376.5)	(36.0, 1915872.0)	(37.0, 1976961.0)	(38.0, 2046184.0)	(39.0, 2143731.5)	(40.0, 2195373.5)	(41.0, 2205014.0)	(42.0, 2191337.0)	(43.0, 2198852.0)	(44.0, 2173529.0)	(45.0, 2090820.0)	(46.0, 2040949.0)	(47.0, 1994610.5)	(48.0, 1947650.5)	(49.0, 1797890.5)	(50.0, 1648752.0)	(51.0, 1577816.0)	(52.0, 1432957.5)	(53.0, 1307871.5)	(54.0, 1256708.0)	(55.0, 1212224.0)	(56.0, 1145297.5)	(57.0, 1054768.0)	(58.0, 986681.0)	(59.0, 928375.5)	(60.0, 818475.0)	(61.0, 722223.0)	(62.0, 677566.0)	(63.0, 631815.5)	(64.0, 490482.0)	(65.0, 390622.0)	(66.0, 335875.0)	(67.0, 285405.0)	(68.0, 256809.5)	(69.0, 223695.0)	(70.0, 174928.0)	(71.0, 130680.0)	(72.0, 115770.0)	(73.0, 96029.5)	(74.0, 81028.5)	(75.0, 70858.0)	(76.0, 74544.5)	(77.0, 93074.5)	(78.0, 81997.0)	(79.0, 56076.0)	(80.0, 59301.0)	(81.0, 71586.0)	(82.0, 62654.0)	(83.0, 44662.0)	(84.0, 41349.0)	(85.0, 34041.5)	(86.0, 25028.0)	(87.0, 20009.0)	(88.0, 17082.0)	(89.0, 11833.0)	(90.0, 6888.0)	(91.0, 2818.0)	(92.0, 1371.0)	(93.0, 1245.0)	(94.0, 1249.5)	(95.0, 816.0)	(96.0, 252.0)	(97.0, 256.0)	(98.0, 249.0)	(99.0, 273.0)	(100.0, 308.0)
SRR30861167_2	(0.0, 9068.0)	(1.0, 7687.0)	(2.0, 5416.5)	(3.0, 4140.0)	(4.0, 3753.0)	(5.0, 3375.5)	(6.0, 2973.0)	(7.0, 2999.5)	(8.0, 3051.0)	(9.0, 3113.0)	(10.0, 3500.0)	(11.0, 4558.0)	(12.0, 5291.0)	(13.0, 6283.5)	(14.0, 9192.0)	(15.0, 14467.0)	(16.0, 23276.5)	(17.0, 28727.0)	(18.0, 38650.5)	(19.0, 62783.0)	(20.0, 98973.5)	(21.0, 120955.0)	(22.0, 152115.0)	(23.0, 226659.5)	(24.0, 325783.5)	(25.0, 381523.0)	(26.0, 451072.0)	(27.0, 606723.5)	(28.0, 786214.0)	(29.0, 879602.0)	(30.0, 987944.0)	(31.0, 1207019.0)	(32.0, 1432488.0)	(33.0, 1547224.0)	(34.0, 1637723.5)	(35.0, 1798738.5)	(36.0, 1928276.5)	(37.0, 1987299.0)	(38.0, 2029887.5)	(39.0, 2102165.0)	(40.0, 2128051.5)	(41.0, 2126815.5)	(42.0, 2129382.0)	(43.0, 2123961.0)	(44.0, 2076979.0)	(45.0, 1974314.5)	(46.0, 1913211.0)	(47.0, 1870254.5)	(48.0, 1762985.5)	(49.0, 1630730.5)	(50.0, 1562788.0)	(51.0, 1517574.0)	(52.0, 1421130.5)	(53.0, 1316801.5)	(54.0, 1263702.0)	(55.0, 1238543.5)	(56.0, 1171853.0)	(57.0, 1058435.0)	(58.0, 986549.0)	(59.0, 963349.5)	(60.0, 921192.5)	(61.0, 831625.0)	(62.0, 761015.0)	(63.0, 684494.5)	(64.0, 528540.5)	(65.0, 419530.0)	(66.0, 329162.0)	(67.0, 268371.0)	(68.0, 242018.0)	(69.0, 201822.5)	(70.0, 166924.0)	(71.0, 145868.0)	(72.0, 128168.0)	(73.0, 105090.5)	(74.0, 99783.0)	(75.0, 99853.0)	(76.0, 98898.5)	(77.0, 94692.0)	(78.0, 88217.0)	(79.0, 84994.0)	(80.0, 86515.0)	(81.0, 75595.0)	(82.0, 60372.0)	(83.0, 57590.0)	(84.0, 48593.5)	(85.0, 37621.5)	(86.0, 34684.5)	(87.0, 33723.0)	(88.0, 29481.0)	(89.0, 17125.5)	(90.0, 6909.0)	(91.0, 3643.0)	(92.0, 2480.0)	(93.0, 2196.0)	(94.0, 1932.5)	(95.0, 1369.0)	(96.0, 785.0)	(97.0, 661.0)	(98.0, 408.0)	(99.0, 263.0)	(100.0, 247.0)
SRR30861168_1	(0.0, 663.0)	(1.0, 976.5)	(2.0, 1418.0)	(3.0, 1881.0)	(4.0, 2216.0)	(5.0, 2322.5)	(6.0, 2459.5)	(7.0, 2577.5)	(8.0, 2665.0)	(9.0, 3014.5)	(10.0, 3715.5)	(11.0, 4981.5)	(12.0, 5896.0)	(13.0, 7528.5)	(14.0, 11901.0)	(15.0, 20185.0)	(16.0, 33856.0)	(17.0, 41983.0)	(18.0, 55922.5)	(19.0, 92988.5)	(20.0, 147472.5)	(21.0, 178830.0)	(22.0, 223721.0)	(23.0, 337688.0)	(24.0, 493380.5)	(25.0, 579997.0)	(26.0, 692464.5)	(27.0, 938408.0)	(28.0, 1223741.5)	(29.0, 1375599.0)	(30.0, 1567252.0)	(31.0, 1947631.5)	(32.0, 2345976.0)	(33.0, 2555594.0)	(34.0, 2753458.5)	(35.0, 3097491.0)	(36.0, 3352476.5)	(37.0, 3461294.0)	(38.0, 3585811.0)	(39.0, 3774454.5)	(40.0, 3889710.5)	(41.0, 3914664.5)	(42.0, 3888489.0)	(43.0, 3885434.0)	(44.0, 3833521.5)	(45.0, 3690855.0)	(46.0, 3597046.0)	(47.0, 3514049.0)	(48.0, 3351680.5)	(49.0, 3078176.5)	(50.0, 2884044.0)	(51.0, 2759514.5)	(52.0, 2506734.5)	(53.0, 2289785.5)	(54.0, 2201087.0)	(55.0, 2118273.5)	(56.0, 1963492.0)	(57.0, 1775635.5)	(58.0, 1659747.0)	(59.0, 1559554.0)	(60.0, 1370800.5)	(61.0, 1203641.0)	(62.0, 1125042.0)	(63.0, 1033377.0)	(64.0, 810286.0)	(65.0, 642659.5)	(66.0, 538983.0)	(67.0, 471507.0)	(68.0, 426904.0)	(69.0, 360510.5)	(70.0, 284901.0)	(71.0, 231082.0)	(72.0, 211578.0)	(73.0, 185139.5)	(74.0, 157866.5)	(75.0, 137528.0)	(76.0, 144178.0)	(77.0, 176402.0)	(78.0, 157065.5)	(79.0, 112155.0)	(80.0, 118225.0)	(81.0, 140438.0)	(82.0, 122668.5)	(83.0, 88756.0)	(84.0, 83776.5)	(85.0, 69019.5)	(86.0, 51481.5)	(87.0, 43721.0)	(88.0, 35782.0)	(89.0, 21257.5)	(90.0, 10762.5)	(91.0, 4184.0)	(92.0, 1515.0)	(93.0, 1314.5)	(94.0, 1322.5)	(95.0, 860.0)	(96.0, 189.0)	(97.0, 185.0)	(98.0, 180.0)	(99.0, 210.5)	(100.0, 242.0)
SRR30861168_2	(0.0, 13486.0)	(1.0, 11161.5)	(2.0, 7639.0)	(3.0, 5952.0)	(4.0, 5463.0)	(5.0, 5016.5)	(6.0, 4424.0)	(7.0, 4356.0)	(8.0, 4434.0)	(9.0, 4776.0)	(10.0, 5626.5)	(11.0, 7056.0)	(12.0, 7977.0)	(13.0, 9664.0)	(14.0, 14525.5)	(15.0, 23225.0)	(16.0, 37718.5)	(17.0, 46687.0)	(18.0, 62349.5)	(19.0, 101922.0)	(20.0, 161582.5)	(21.0, 197333.0)	(22.0, 250709.5)	(23.0, 378214.0)	(24.0, 547802.0)	(25.0, 643262.0)	(26.0, 764383.0)	(27.0, 1034245.0)	(28.0, 1349081.0)	(29.0, 1515176.0)	(30.0, 1704654.0)	(31.0, 2088112.0)	(32.0, 2486461.5)	(33.0, 2690831.0)	(34.0, 2855225.0)	(35.0, 3147511.0)	(36.0, 3377627.5)	(37.0, 3479852.0)	(38.0, 3566787.0)	(39.0, 3707463.5)	(40.0, 3756309.5)	(41.0, 3756302.5)	(42.0, 3761191.0)	(43.0, 3749021.0)	(44.0, 3655948.5)	(45.0, 3471894.0)	(46.0, 3368742.0)	(47.0, 3291354.5)	(48.0, 3101271.0)	(49.0, 2862431.0)	(50.0, 2736287.0)	(51.0, 2651191.0)	(52.0, 2476970.5)	(53.0, 2296100.5)	(54.0, 2204355.0)	(55.0, 2146535.0)	(56.0, 2008385.5)	(57.0, 1803921.0)	(58.0, 1679786.0)	(59.0, 1612943.0)	(60.0, 1472755.0)	(61.0, 1293020.0)	(62.0, 1186630.0)	(63.0, 1063990.0)	(64.0, 835649.5)	(65.0, 674565.5)	(66.0, 536771.0)	(67.0, 454360.0)	(68.0, 406581.5)	(69.0, 332778.5)	(70.0, 277922.5)	(71.0, 249091.0)	(72.0, 225226.0)	(73.0, 197222.5)	(74.0, 189900.5)	(75.0, 186717.0)	(76.0, 181842.0)	(77.0, 178673.0)	(78.0, 173318.5)	(79.0, 166258.0)	(80.0, 167315.0)	(81.0, 147632.0)	(82.0, 121483.5)	(83.0, 116075.0)	(84.0, 98943.0)	(85.0, 80701.5)	(86.0, 74932.0)	(87.0, 70272.0)	(88.0, 64518.5)	(89.0, 36098.5)	(90.0, 9721.5)	(91.0, 4150.0)	(92.0, 2289.0)	(93.0, 1933.5)	(94.0, 1536.0)	(95.0, 1135.5)	(96.0, 777.0)	(97.0, 664.5)	(98.0, 436.5)	(99.0, 399.5)	(100.0, 478.0)
SRR30861169_1	(0.0, 276.0)	(1.0, 425.0)	(2.0, 603.5)	(3.0, 673.0)	(4.0, 713.0)	(5.0, 779.5)	(6.0, 893.5)	(7.0, 982.0)	(8.0, 1023.0)	(9.0, 1140.5)	(10.0, 1503.0)	(11.0, 2067.0)	(12.0, 2386.0)	(13.0, 2989.5)	(14.0, 4782.0)	(15.0, 7982.0)	(16.0, 13378.0)	(17.0, 16763.0)	(18.0, 22020.5)	(19.0, 36180.5)	(20.0, 56999.0)	(21.0, 68915.0)	(22.0, 86525.5)	(23.0, 131147.5)	(24.0, 189730.0)	(25.0, 221301.0)	(26.0, 264873.0)	(27.0, 361609.5)	(28.0, 477598.0)	(29.0, 540422.0)	(30.0, 624156.5)	(31.0, 792388.0)	(32.0, 979224.0)	(33.0, 1081563.0)	(34.0, 1186135.0)	(35.0, 1376667.0)	(36.0, 1544390.5)	(37.0, 1626154.0)	(38.0, 1717230.5)	(39.0, 1868329.5)	(40.0, 1989007.0)	(41.0, 2095824.0)	(42.0, 2141986.0)	(43.0, 2162568.5)	(44.0, 2196321.5)	(45.0, 2191554.0)	(46.0, 2173616.0)	(47.0, 2166505.0)	(48.0, 2119374.0)	(49.0, 1994588.5)	(50.0, 1909823.0)	(51.0, 1887206.0)	(52.0, 1792896.0)	(53.0, 1679617.5)	(54.0, 1638032.0)	(55.0, 1595670.0)	(56.0, 1552346.0)	(57.0, 1504757.5)	(58.0, 1458131.0)	(59.0, 1361763.0)	(60.0, 1200267.5)	(61.0, 1049891.5)	(62.0, 964643.0)	(63.0, 909094.0)	(64.0, 729164.5)	(65.0, 646330.0)	(66.0, 606896.5)	(67.0, 525917.0)	(68.0, 503731.5)	(69.0, 431225.5)	(70.0, 326430.0)	(71.0, 271955.0)	(72.0, 278197.0)	(73.0, 284172.0)	(74.0, 273543.5)	(75.0, 263182.0)	(76.0, 289881.5)	(77.0, 347709.5)	(78.0, 308077.0)	(79.0, 237316.0)	(80.0, 259233.0)	(81.0, 308314.0)	(82.0, 274137.0)	(83.0, 212796.0)	(84.0, 198217.0)	(85.0, 156942.5)	(86.0, 108118.5)	(87.0, 85990.0)	(88.0, 77227.5)	(89.0, 59067.5)	(90.0, 40184.0)	(91.0, 20057.5)	(92.0, 9417.0)	(93.0, 9296.5)	(94.0, 9745.5)	(95.0, 5837.0)	(96.0, 1359.0)	(97.0, 948.0)	(98.0, 356.5)	(99.0, 171.0)	(100.0, 166.0)
SRR30861169_2	(0.0, 7107.0)	(1.0, 5655.5)	(2.0, 3551.0)	(3.0, 2742.0)	(4.0, 2586.0)	(5.0, 2441.0)	(6.0, 2153.5)	(7.0, 2026.0)	(8.0, 2041.0)	(9.0, 2137.5)	(10.0, 2343.5)	(11.0, 2902.0)	(12.0, 3351.0)	(13.0, 3946.5)	(14.0, 5556.0)	(15.0, 8475.5)	(16.0, 13453.0)	(17.0, 16525.0)	(18.0, 22213.5)	(19.0, 36058.0)	(20.0, 56042.5)	(21.0, 67871.0)	(22.0, 85541.0)	(23.0, 128921.5)	(24.0, 187964.5)	(25.0, 221297.0)	(26.0, 263212.0)	(27.0, 359979.0)	(28.0, 479849.5)	(29.0, 544868.0)	(30.0, 627414.0)	(31.0, 804051.0)	(32.0, 1002719.5)	(33.0, 1107297.0)	(34.0, 1208187.0)	(35.0, 1400214.0)	(36.0, 1577543.0)	(37.0, 1663735.0)	(38.0, 1745980.0)	(39.0, 1888519.0)	(40.0, 1982972.5)	(41.0, 2058794.0)	(42.0, 2100456.0)	(43.0, 2145335.0)	(44.0, 2203870.0)	(45.0, 2162854.0)	(46.0, 2108182.0)	(47.0, 2086795.5)	(48.0, 2018074.5)	(49.0, 1895542.5)	(50.0, 1820345.0)	(51.0, 1798847.5)	(52.0, 1727046.5)	(53.0, 1632541.5)	(54.0, 1588340.0)	(55.0, 1547389.5)	(56.0, 1498515.5)	(57.0, 1432743.5)	(58.0, 1374895.0)	(59.0, 1383139.5)	(60.0, 1332439.0)	(61.0, 1175453.5)	(62.0, 1077413.0)	(63.0, 979548.5)	(64.0, 785866.5)	(65.0, 642513.0)	(66.0, 521324.0)	(67.0, 447671.0)	(68.0, 432625.5)	(69.0, 392026.0)	(70.0, 339621.0)	(71.0, 312770.0)	(72.0, 306914.0)	(73.0, 302358.5)	(74.0, 309866.0)	(75.0, 316073.0)	(76.0, 326587.0)	(77.0, 330252.0)	(78.0, 320162.0)	(79.0, 316921.0)	(80.0, 319613.0)	(81.0, 295794.5)	(82.0, 246547.5)	(83.0, 223811.0)	(84.0, 197230.0)	(85.0, 166138.0)	(86.0, 143161.5)	(87.0, 124696.0)	(88.0, 115485.0)	(89.0, 82547.0)	(90.0, 50941.5)	(91.0, 37509.0)	(92.0, 31955.0)	(93.0, 28223.0)	(94.0, 25733.0)	(95.0, 21121.5)	(96.0, 15268.0)	(97.0, 11593.5)	(98.0, 4968.5)	(99.0, 1563.0)	(100.0, 1108.0)
SRR30861170_1	(0.0, 217.0)	(1.0, 244.5)	(2.0, 305.5)	(3.0, 380.5)	(4.0, 422.0)	(5.0, 447.5)	(6.0, 484.0)	(7.0, 510.5)	(8.0, 526.0)	(9.0, 561.5)	(10.0, 687.5)	(11.0, 920.0)	(12.0, 1062.0)	(13.0, 1291.5)	(14.0, 1855.0)	(15.0, 2982.0)	(16.0, 4901.5)	(17.0, 6028.0)	(18.0, 7857.0)	(19.0, 12818.0)	(20.0, 20064.0)	(21.0, 24178.0)	(22.0, 30034.0)	(23.0, 45044.0)	(24.0, 65363.0)	(25.0, 76528.0)	(26.0, 91420.5)	(27.0, 124119.0)	(28.0, 163753.0)	(29.0, 185581.0)	(30.0, 220067.5)	(31.0, 288372.0)	(32.0, 369941.0)	(33.0, 417692.0)	(34.0, 469497.0)	(35.0, 570584.5)	(36.0, 668395.5)	(37.0, 716924.0)	(38.0, 779002.0)	(39.0, 890940.0)	(40.0, 992655.5)	(41.0, 1080473.0)	(42.0, 1116435.0)	(43.0, 1163232.5)	(44.0, 1224192.5)	(45.0, 1232249.5)	(46.0, 1226144.0)	(47.0, 1239634.5)	(48.0, 1264988.0)	(49.0, 1203155.5)	(50.0, 1129460.0)	(51.0, 1100436.0)	(52.0, 1039839.5)	(53.0, 987727.0)	(54.0, 967187.0)	(55.0, 972166.5)	(56.0, 997857.0)	(57.0, 994749.0)	(58.0, 970930.0)	(59.0, 934458.0)	(60.0, 869438.5)	(61.0, 786156.0)	(62.0, 731421.0)	(63.0, 685468.0)	(64.0, 532276.0)	(65.0, 432677.0)	(66.0, 405979.0)	(67.0, 371641.0)	(68.0, 336942.5)	(69.0, 291543.0)	(70.0, 252100.0)	(71.0, 223358.0)	(72.0, 216247.5)	(73.0, 213770.5)	(74.0, 192872.5)	(75.0, 167341.0)	(76.0, 187252.0)	(77.0, 243755.0)	(78.0, 225306.5)	(79.0, 170266.0)	(80.0, 189922.0)	(81.0, 226612.0)	(82.0, 200606.0)	(83.0, 157566.0)	(84.0, 153735.0)	(85.0, 132673.5)	(86.0, 94239.0)	(87.0, 73035.0)	(88.0, 64997.5)	(89.0, 45117.0)	(90.0, 25640.5)	(91.0, 11589.0)	(92.0, 5171.0)	(93.0, 4086.0)	(94.0, 3286.5)	(95.0, 2038.5)	(96.0, 505.0)	(97.0, 354.5)	(98.0, 150.0)	(99.0, 98.0)	(100.0, 100.0)
SRR30861170_2	(0.0, 3980.0)	(1.0, 3176.5)	(2.0, 1958.5)	(3.0, 1495.5)	(4.0, 1447.0)	(5.0, 1378.5)	(6.0, 1182.0)	(7.0, 1060.5)	(8.0, 1067.0)	(9.0, 1096.0)	(10.0, 1219.5)	(11.0, 1415.5)	(12.0, 1517.0)	(13.0, 1761.5)	(14.0, 2440.5)	(15.0, 3574.0)	(16.0, 5369.5)	(17.0, 6466.0)	(18.0, 8425.5)	(19.0, 13375.5)	(20.0, 20313.5)	(21.0, 24261.0)	(22.0, 30371.0)	(23.0, 45603.0)	(24.0, 65433.0)	(25.0, 76141.0)	(26.0, 90619.0)	(27.0, 123678.5)	(28.0, 166304.5)	(29.0, 190349.0)	(30.0, 223976.5)	(31.0, 299445.5)	(32.0, 391961.5)	(33.0, 442636.0)	(34.0, 493996.5)	(35.0, 598125.0)	(36.0, 703818.0)	(37.0, 756743.0)	(38.0, 812836.0)	(39.0, 916279.0)	(40.0, 1001265.0)	(41.0, 1081275.5)	(42.0, 1123650.0)	(43.0, 1165263.0)	(44.0, 1209002.0)	(45.0, 1189829.5)	(46.0, 1168531.0)	(47.0, 1169752.0)	(48.0, 1150098.0)	(49.0, 1099290.0)	(50.0, 1069357.0)	(51.0, 1057672.0)	(52.0, 1024848.5)	(53.0, 977992.0)	(54.0, 952274.0)	(55.0, 964508.0)	(56.0, 987346.5)	(57.0, 946847.0)	(58.0, 895743.0)	(59.0, 932574.0)	(60.0, 930499.0)	(61.0, 847089.5)	(62.0, 802586.0)	(63.0, 722504.5)	(64.0, 569919.0)	(65.0, 468480.0)	(66.0, 377132.0)	(67.0, 314719.0)	(68.0, 285962.5)	(69.0, 249343.0)	(70.0, 223881.5)	(71.0, 206283.0)	(72.0, 202538.0)	(73.0, 207994.5)	(74.0, 215351.5)	(75.0, 213507.0)	(76.0, 211772.0)	(77.0, 225966.5)	(78.0, 237752.0)	(79.0, 233608.0)	(80.0, 240270.5)	(81.0, 228296.5)	(82.0, 191241.5)	(83.0, 172823.0)	(84.0, 155759.5)	(85.0, 139435.5)	(86.0, 121364.5)	(87.0, 102554.0)	(88.0, 102488.0)	(89.0, 70146.0)	(90.0, 27741.0)	(91.0, 13863.0)	(92.0, 10114.0)	(93.0, 8714.5)	(94.0, 8014.0)	(95.0, 6705.0)	(96.0, 4697.0)	(97.0, 3699.5)	(98.0, 1781.0)	(99.0, 613.5)	(100.0, 367.0)
