Geneid	SRR30861169	SRR30861170	SRR30861171	SRR30861166	SRR30861167	SRR30861168
ENSG00000142611	1039	521	1150	0	16	44
ENSG00000284616	0	0	0	0	0	0
ENSG00000157911	1147	933	1017	14	838	1585
ENSG00000260972	0	0	0	0	0	0
ENSG00000224340	0	0	0	0	0	1
ENSG00000229280	0	0	0	0	0	0
ENSG00000142655	619	465	603	3	493	928
ENSG00000232596	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000149527	3884	2258	3906	73	4274	8306
ENSG00000171621	698	491	627	9	974	1835
ENSG00000272235	5	2	4	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000224387	0	0	0	0	1	1
ENSG00000142583	2	0	1	0	0	3
ENSG00000284674	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0
ENSG00000287727	1	1	0	0	1	0
ENSG00000173614	305	239	295	4	340	618
ENSG00000215720	0	0	1	0	0	3
ENSG00000241326	0	0	0	0	0	0
ENSG00000233623	18	4	21	0	6	23
ENSG00000204624	10	0	4	0	11	12
ENSG00000142606	1	3	4	0	2	2
ENSG00000225931	1	0	0	0	1	0
ENSG00000171729	757	650	812	23	1422	2655
ENSG00000229393	1	2	0	0	2	3
ENSG00000287586	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000157916	3977	2243	3672	36	2676	4472
ENSG00000157881	568	367	460	5	476	843
ENSG00000225387	0	0	0	0	0	0
ENSG00000048707	5186	1924	4943	49	3902	6739
ENSG00000225196	0	0	0	0	0	0
ENSG00000162444	262	289	283	1	96	131
ENSG00000279625	0	0	0	0	0	0
ENSG00000180758	332	267	304	7	529	848
ENSG00000184677	1875	975	1821	17	1599	2914
ENSG00000285833	0	0	0	0	0	0
ENSG00000131697	957	505	919	2	412	731
ENSG00000280222	0	0	0	0	0	1
ENSG00000285945	0	0	0	0	0	0
ENSG00000197921	0	1	1	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000228943	0	0	0	0	0	0
ENSG00000234397	0	0	0	0	0	0
ENSG00000204138	3263	2160	3556	34	3187	5730
ENSG00000233419	0	0	0	0	0	0
ENSG00000225011	0	0	0	0	0	0
ENSG00000284676	0	0	0	0	0	1
ENSG00000090020	939	564	943	10	864	1564
ENSG00000158006	456	305	393	0	457	774
ENSG00000214812	0	1	0	0	0	0
ENSG00000196581	0	0	0	0	0	1
ENSG00000169403	10	5	8	0	5	3
ENSG00000171612	713	441	631	6	506	740
ENSG00000270927	0	0	0	0	0	0
ENSG00000188910	1	2	4	0	0	3
ENSG00000230523	0	0	0	0	0	0
ENSG00000158161	1183	549	1051	11	1118	1899
ENSG00000233234	0	0	0	0	0	0
ENSG00000189337	54	47	57	1	14	28
ENSG00000028137	90	70	110	2	218	409
ENSG00000283259	0	0	0	0	0	0
ENSG00000130939	3174	1590	3302	24	2140	3904
ENSG00000175147	123	43	135	3	249	439
ENSG00000127472	0	0	0	0	0	1
ENSG00000060656	56	31	61	0	12	35
ENSG00000230214	0	0	0	0	0	0
ENSG00000189280	0	0	0	0	0	0
ENSG00000134698	1023	400	985	6	816	1426
ENSG00000272420	11	5	12	0	6	17
ENSG00000273274	26	10	7	0	6	17
ENSG00000236648	0	0	0	0	0	0
ENSG00000232273	0	0	0	0	0	0
ENSG00000130940	1459	665	1550	14	591	1135
ENSG00000163879	2	1	1	0	2	2
ENSG00000227527	0	0	0	0	1	0
ENSG00000116954	677	314	643	2	478	775
ENSG00000163873	3	0	0	0	0	0
ENSG00000117215	1	0	0	0	0	0
ENSG00000230163	0	0	0	0	0	1
ENSG00000227538	0	0	0	0	0	0
ENSG00000044012	0	0	0	0	0	0
ENSG00000179051	5494	3180	5378	32	2716	5063
ENSG00000215895	6	11	1	0	4	18
ENSG00000126067	3904	2382	3723	25	2636	4571
ENSG00000274944	0	0	0	0	2	3
ENSG00000272078	8	8	6	0	2	6
ENSG00000230451	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0
ENSG00000054118	6905	4696	7881	60	5408	10122
ENSG00000254553	0	0	1	0	0	0
ENSG00000284653	0	0	0	0	0	0
ENSG00000237749	2	0	0	0	0	0
ENSG00000276747	0	0	0	0	0	0
ENSG00000228776	0	0	0	0	0	0
ENSG00000159339	0	0	0	0	0	0
ENSG00000261781	0	0	0	0	0	0
ENSG00000158315	32	15	27	3	139	220
ENSG00000186973	4	19	5	0	3	1
ENSG00000146463	5161	2622	5503	37	3866	6786
ENSG00000142686	895	611	864	8	518	904
ENSG00000224751	0	0	0	0	0	0
ENSG00000117148	1	1	2	0	0	0
ENSG00000230585	0	0	0	0	0	0
ENSG00000117000	1377	645	1373	10	1153	1998
ENSG00000284989	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000092853	3353	2204	4345	17	2530	4480
ENSG00000255811	0	0	1	0	1	0
ENSG00000134697	2415	1616	2888	16	2083	3813
ENSG00000187513	0	0	0	0	0	0
ENSG00000225671	0	0	0	0	0	0
ENSG00000116151	646	404	601	6	266	512
ENSG00000006555	0	0	1	0	1	3
ENSG00000236111	0	0	0	0	0	0
ENSG00000214114	311	183	279	1	207	338
ENSG00000116544	23	3	19	0	18	34
ENSG00000236723	20	27	21	1	24	38
ENSG00000232467	0	0	0	0	0	0
ENSG00000117016	258	122	224	3	183	303
ENSG00000163866	868	643	813	6	678	1177
ENSG00000237130	0	0	0	0	0	1
