Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SRR30861169	SRR30861170	SRR30861171	SRR30861166	SRR30861167	SRR30861168	external_gene_name	gene_biotype
ENSG00000000003	159.8264467	0.614556684	0.388822482	1.580558514	0.113979018	0.336714217	130.0774998	135.4262854	113.2113525	203.4128961	205.0963627	171.7342834	TSPAN6	protein_coding
ENSG00000000457	157.8729848	-0.307755667	0.435346547	-0.706921117	0.4796155	0.774664802	199.2265053	181.3891459	193.5236795	40.68257922	167.2032703	165.2127284	SCYL3	protein_coding
ENSG00000000460	317.5474373	-0.114727156	0.349045819	-0.328687954	0.74239156	0.920502753	366.5380851	339.7968615	361.4054714	122.0477377	372.299633	343.1968354	FIRRM	protein_coding
ENSG00000001036	742.9175598	-1.009260952	0.261780383	-3.855372744	0.000115553	0.00144191	984.0435397	1036.626657	883.4355967	650.9212676	467.9796914	434.4986063	FUCA2	protein_coding
ENSG00000001084	483.0391677	0.010829654	0.271713328	0.03985691	0.968207205	0.992669425	516.925083	449.7794205	520.5786978	406.8257922	497.346838	506.779175	GCLC	protein_coding
ENSG00000001167	707.4312565	-0.343820553	0.280587976	-1.225357399	0.22044059	0.508087774	911.5096179	787.9347512	825.8623021	325.4606338	696.2855732	697.5346607	NFYA	protein_coding
ENSG00000001460	127.4628395	0.291030134	0.44045106	0.660754759	0.5087696	0.793741209	115.087156	137.0678161	110.3084973	81.36515844	163.8876247	157.0607845	STPG1	protein_coding
ENSG00000001461	280.9414022	1.166569814	0.316079891	3.690743538	0.000223599	0.002531595	179.4005667	176.4645537	157.2379896	447.5083714	364.7210145	360.3159174	NIPAL3	protein_coding
ENSG00000001497	766.0206435	-0.493796427	0.245081759	-2.014823255	0.043923172	0.174857872	819.1497574	975.89002	822.9594469	732.286426	616.2364154	629.6017954	LAS1L	protein_coding
ENSG00000001561	172.3012937	0.159848696	0.395777652	0.403885098	0.686297215	0.894443535	175.5320909	127.2186317	198.3617714	162.7303169	188.9917984	180.9731531	ENPP4	protein_coding
ENSG00000001617	258.8227648	-3.67362766	0.406735622	-9.03197916	1.69E-19	1.24E-17	490.3293117	480.147739	433.0092328	81.36515844	30.31447393	37.77067309	SEMA3F	protein_coding
ENSG00000001629	1801.401186	0.032622663	0.229898028	0.141900579	0.887158537	0.967533358	1581.723056	1745.767933	1989.907234	1342.525114	2061.857891	2086.62589	ANKIB1	protein_coding
ENSG00000001630	72.27842775	-0.816554708	0.567606978	-1.438591735	0.150266229	0.401897748	91.39274153	101.7749054	68.21709701	81.36515844	44.99804725	45.92261693	CYP51A1	protein_coding
ENSG00000001631	516.0742862	0.127119698	0.345731384	0.367683422	0.713109303	0.907726714	562.8632335	373.4482415	649.7557538	244.0954753	634.2356343	632.0473785	KRIT1	protein_coding
ENSG00000002016	233.4001233	0.50019252	0.330724338	1.51241521	0.130428268	0.36662946	200.1936243	191.2383302	189.6532059	284.7780546	265.2516469	269.285878	RAD52	protein_coding
ENSG00000002330	216.6687599	-0.349505555	0.488919658	-0.714852735	0.474700045	0.771636816	179.8841262	303.6831854	141.7560952	406.8257922	136.8887964	130.9745643	BAD	protein_coding
ENSG00000002549	595.9523113	-0.338991349	0.253839874	-1.335453505	0.181727963	0.454561196	629.1108821	666.4614771	653.1424182	610.2386883	514.8723932	501.8880087	LAP3	protein_coding
ENSG00000002586	952.9624996	-0.005450361	0.2623766	-0.020773045	0.9834267	0.995581184	920.2136885	1175.336004	764.4185339	895.0167429	912.2762	1050.513829	CD99	protein_coding
ENSG00000002745	15.55938297	7.933467658	1.842512865	4.305786846	1.66E-05	0.000265758	0	0	0	40.68257922	27.94615566	24.72756296	WNT16	protein_coding
ENSG00000002746	15.28487478	-3.990957644	1.160597762	-3.438708721	0.000584496	0.005675415	24.66153343	32.83061463	30.96378871	0	1.894654621	1.358657306	HECW1	protein_coding
ENSG00000002822	48.69013981	-0.975913722	0.719902283	-1.355619706	0.175220199	0.444093094	81.23799247	48.42515659	87.08565576	0	37.89309242	37.49894163	MAD1L1	protein_coding
ENSG00000003056	1180.107676	0.084591731	0.246984255	0.342498474	0.731975792	0.916001634	1105.416969	1258.233306	1135.500189	813.6515844	1399.676101	1368.167907	M6PR	protein_coding
ENSG00000003096	38.35674971	1.019971791	0.70741661	1.441826184	0.149351414	0.400546997	24.66153343	28.72678781	24.67426913	40.68257922	55.41864766	55.97668099	KLHL13	protein_coding
