Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR30861166_1 - illumina_universal_adapter	(1, 0.0009366584709050462)	(2, 0.0009366584709050462)	(3, 0.0009366584709050462)	(4, 0.0010927682160558872)	(5, 0.0012488779612067284)	(6, 0.0012488779612067284)	(7, 0.0014049877063575693)	(8, 0.0014049877063575693)	(9, 0.0018733169418100925)	(10, 0.0018733169418100925)	(11, 0.0021855364321117744)	(12, 0.0028099754127151387)	(13, 0.0029660851578659797)	(14, 0.0029660851578659797)	(15, 0.0031221949030168206)	(16, 0.0031221949030168206)	(17, 0.003278304648167662)	(18, 0.003434414393318503)	(19, 0.003590524138469344)	(20, 0.003746633883620185)	(21, 0.003902743628771026)	(22, 0.004371072864223549)	(23, 0.0049955118448269135)	(24, 0.0053077313351285954)	(25, 0.005619950825430277)	(26, 0.0060882800608828)	(27, 0.006712719041486165)	(28, 0.008117706747843734)	(29, 0.009210474963899621)	(30, 0.010147133434804667)	(31, 0.011239901650860555)	(32, 0.012800999102368966)	(33, 0.014674316044179058)	(34, 0.01639152324083831)	(35, 0.018420949927799243)	(36, 0.020450376614760176)	(37, 0.02294813253717363)	(38, 0.026694766420793818)	(39, 0.02997307106896148)	(40, 0.03418803418803419)	(41, 0.04027631424891699)	(42, 0.0444912773679897)	(43, 0.05167232564492839)	(44, 0.060102251883073804)	(45, 0.07102993404363267)	(46, 0.08367482340085079)	(47, 0.09819302969987902)	(48, 0.10927682160558873)	(49, 0.12598056433672872)	(50, 0.1475237091675448)	(51, 0.1715646099207743)	(52, 0.19732271787066308)	(53, 0.22713967919447373)	(54, 0.2605471646567537)	(55, 0.2947351988447879)	(56, 0.3351676228388557)	(57, 0.37606837606837606)	(58, 0.42055965343636575)	(59, 0.47082699137493655)	(60, 0.5293681458065019)	(61, 0.5943097997892518)	(62, 0.6651836240877337)	(63, 0.7468290208016235)	(64, 0.8354993560473013)	(65, 0.9333801662568786)
SRR30861166_2 - illumina_universal_adapter	(1, 0.0012488779612067284)	(2, 0.0012488779612067284)	(3, 0.0012488779612067284)	(4, 0.0012488779612067284)	(5, 0.0018733169418100925)	(6, 0.0020294266869609334)	(7, 0.0021855364321117744)	(8, 0.0021855364321117744)	(9, 0.0024977559224134568)	(10, 0.0024977559224134568)	(11, 0.0024977559224134568)	(12, 0.0026538656675642977)	(13, 0.0028099754127151387)	(14, 0.0028099754127151387)	(15, 0.003278304648167662)	(16, 0.003278304648167662)	(17, 0.003590524138469344)	(18, 0.003746633883620185)	(19, 0.003902743628771026)	(20, 0.004214963119072708)	(21, 0.004371072864223549)	(22, 0.0048394020996760725)	(23, 0.0053077313351285954)	(24, 0.005619950825430277)	(25, 0.0060882800608828)	(26, 0.006712719041486165)	(27, 0.007024938531787847)	(28, 0.008117706747843734)	(29, 0.009054365218748781)	(30, 0.010459352925106349)	(31, 0.011239901650860555)	(32, 0.012957108847519806)	(33, 0.01498653553448074)	(34, 0.015923194005385787)	(35, 0.018108730437497562)	(36, 0.020294266869609334)	(37, 0.024197010498380363)	(38, 0.02685087616594466)	(39, 0.03106583928501737)	(40, 0.035280802404090074)	(41, 0.041837411700425396)	(42, 0.048550130741911564)	(43, 0.056355617999453614)	(44, 0.06572220270850408)	(45, 0.07540100690785623)	(46, 0.08664090855871678)	(47, 0.101159114857745)	(48, 0.11317956523435975)	(49, 0.12988330796549974)	(50, 0.1540803184638801)	(51, 0.17952620692346719)	(52, 0.21027982671818288)	(53, 0.24072122702259688)	(54, 0.27506537095578193)	(55, 0.31065839285017366)	(56, 0.3563985481793701)	(57, 0.39495765523162785)	(58, 0.4477227490926121)	(59, 0.5000195137181439)	(60, 0.5594973266206142)	(61, 0.6256878585645709)	(62, 0.6990594387854662)	(63, 0.7863247863247863)	(64, 0.8837372672989111)	(65, 0.9813058580181868)
SRR30861167_1 - illumina_universal_adapter	(1, 0.00034355867529201723)	(2, 0.00035231176256060365)	(3, 0.00037638275254921633)	(4, 0.0004967377024922796)	(5, 0.0005711389442752643)	(6, 0.0006827408069497412)	(7, 0.0007921543978070716)	(8, 0.0008271667468814172)	(9, 0.0009715926868130932)	(10, 0.0010656883749503973)	(11, 0.0011663488785391412)	(12, 0.001374234701168069)	(13, 0.0015055310101968653)	(14, 0.0016149446010541957)	(15, 0.0017703119000716046)	(16, 0.0018884785781975214)	(17, 0.002085423041740716)	(18, 0.0023655218343354815)	(19, 0.002525265676987184)	(20, 0.0026653150732845665)	(21, 0.002982614486770825)	(22, 0.0036894262837091785)	(23, 0.004882034424054079)	(24, 0.0054575499119636365)	(25, 0.006081207379850419)	(26, 0.00680990189496024)	(27, 0.0076611396318302695)	(28, 0.008877818762163783)	(29, 0.010803497961252797)	(30, 0.013420671054560138)	(31, 0.01674684421662298)	(32, 0.02094394956191017)	(33, 0.02516074935355168)	(34, 0.028699184881877744)	(35, 0.032121642003895036)	(36, 0.035835139277592826)	(37, 0.04000598536107426)	(38, 0.04476985310700242)	(39, 0.05014424868991449)	(40, 0.05647491905691962)	(41, 0.06418420066872711)	(42, 0.07314079721630817)	(43, 0.0828282765508162)	(44, 0.09306282383961088)	(45, 0.10348993904831445)	(46, 0.11422122403960142)	(47, 0.12550614180062647)	(48, 0.13752631889221278)	(49, 0.1509229189567843)	(50, 0.1659847938742044)	(51, 0.18283886340986755)	(52, 0.20119627568391044)	(53, 0.22186450299686014)	(54, 0.24428991257897856)	(55, 0.2677569395460588)	(56, 0.2927754512314959)	(57, 0.31836291358939117)	(58, 0.34631152123798764)	(59, 0.3764155766264735)	(60, 0.4091127341182781)	(61, 0.44563499074645496)	(62, 0.4859451458901126)	(63, 0.5309272613633782)	(64, 0.578134849274682)	(65, 0.6285416905826541)
SRR30861167_2 - illumina_universal_adapter	(1, 0.00031948768530340454)	(2, 0.00032605250075484434)	(3, 0.00034355867529201723)	(4, 0.00040920682980641543)	(5, 0.000472666712503667)	(6, 0.0005273735079323322)	(7, 0.000595209934263877)	(8, 0.000617092652435343)	(9, 0.0007308827869269666)	(10, 0.0007921543978070716)	(11, 0.0008796852704929358)	(12, 0.0010328642976931983)	(13, 0.001144466160367675)	(14, 0.0012407501203221258)	(15, 0.0013676698857166291)	(16, 0.0014727069329396661)	(17, 0.0016433921346771015)	(18, 0.0018950433936489612)	(19, 0.0020394693335806374)	(20, 0.002168577370792287)	(21, 0.0024639940661070787)	(22, 0.0031598645039596996)	(23, 0.004380920177927506)	(24, 0.004949870850385624)	(25, 0.005547269056466647)	(26, 0.0062759635715764674)	(27, 0.007135954395715084)	(28, 0.00837013970058577)	(29, 0.010289254084223343)	(30, 0.012941439526605031)	(31, 0.01624354169867926)	(32, 0.020451588403052185)	(33, 0.024683706097413723)	(34, 0.028241836072094104)	(35, 0.031673046281379985)	(36, 0.035390920098712066)	(37, 0.03954207173583918)	(38, 0.044297186394498755)	(39, 0.049693464695582286)	(40, 0.05603069987803886)	(41, 0.06375529939256638)	(42, 0.07273159038650176)	(43, 0.08244532898281555)	(44, 0.09272801825158745)	(45, 0.10307416740305661)	(46, 0.11382295856888074)	(47, 0.12511662941717436)	(48, 0.13711711206240637)	(49, 0.150574983737858)	(50, 0.16564561174254666)	(51, 0.1824646689291355)	(52, 0.20084615219316698)	(53, 0.221534073952471)	(54, 0.24401637860183523)	(55, 0.2676322080524814)	(56, 0.2927098030769815)	(57, 0.31840230248209983)	(58, 0.34654566632242234)	(59, 0.37674162912722836)	(60, 0.4095460119380731)	(61, 0.4462148827779988)	(62, 0.48673073547246826)	(63, 0.5319119836810943)	(64, 0.5792880685223183)	(65, 0.6298940425656506)
SRR30861168_1 - illumina_universal_adapter	(1, 0.0003875056661659134)	(2, 0.00039634130024787233)	(3, 0.00040391470088955143)	(4, 0.0004417817040979469)	(5, 0.0004682886063438237)	(6, 0.0004910088082688609)	(7, 0.0005175157105147378)	(8, 0.0005452848462008944)	(9, 0.0005831518494092899)	(10, 0.0006096587516551667)	(11, 0.0006374278873413233)	(12, 0.0006828682911913979)	(13, 0.0007434554963248306)	(14, 0.0007952070673763044)	(15, 0.0008722033072333751)	(16, 0.0009201681779640094)	(17, 0.0009794931496571622)	(18, 0.0010362936544697555)	(19, 0.0011019297933643076)	(20, 0.001180188266661658)	(21, 0.001305149377249363)	(22, 0.0016257566710804446)	(23, 0.002071325075499231)	(24, 0.0022821180600259656)	(25, 0.0025345647480819354)	(26, 0.002887990111360293)	(27, 0.003310838313854042)	(28, 0.004002542239127399)	(29, 0.005050195994559673)	(30, 0.006528271353127375)	(31, 0.008661445867200319)	(32, 0.011211157416565613)	(33, 0.013908550278443649)	(34, 0.016328251783460118)	(35, 0.018804753793289178)	(36, 0.021441559450033783)	(37, 0.02451131117679437)	(38, 0.028291700330432518)	(39, 0.032908950254976206)	(40, 0.038544822565825726)	(41, 0.045705472872533306)	(42, 0.05447420858215741)	(43, 0.06463392554296991)	(44, 0.07552447566570444)	(45, 0.08677981125267985)	(46, 0.09886190974303856)	(47, 0.11244101709356916)	(48, 0.12768374811838862)	(49, 0.14471758839496515)	(50, 0.16480855806389952)	(51, 0.1880967650370627)	(52, 0.21506185802176112)	(53, 0.2456041205762126)	(54, 0.2789460169012048)	(55, 0.314890638580054)	(56, 0.35368412113361486)	(57, 0.3952545172557914)	(58, 0.4403907228467585)	(59, 0.4904748835236226)	(60, 0.5455701109583977)	(61, 0.6072340012163892)	(62, 0.6758199796608753)	(63, 0.7521118932582698)	(64, 0.8352552099695034)	(65, 0.9255465546530418)
SRR30861168_2 - illumina_universal_adapter	(1, 0.00036730993112143583)	(2, 0.0003736210983228351)	(3, 0.0003811944989645142)	(4, 0.00039381683336731267)	(5, 0.00041148810153123053)	(6, 0.0004253726693743089)	(7, 0.00044304393753822675)	(8, 0.0004607152057021446)	(9, 0.0004922710417091408)	(10, 0.0005187779439550177)	(11, 0.0005389736789994952)	(12, 0.0005793651490884503)	(13, 0.0006336411870204838)	(14, 0.0006752948905497188)	(15, 0.0007384065625637113)	(16, 0.0007876336667346253)	(17, 0.0008292873702638603)	(18, 0.0008987102094792519)	(19, 0.0009592974146126847)	(20, 0.0010350314210294757)	(21, 0.0011536813644157813)	(22, 0.0014755508916871427)	(23, 0.0019198570626656492)	(24, 0.0021306500471923837)	(25, 0.0023679499339649955)	(26, 0.002722637530683633)	(27, 0.003144223499737102)	(28, 0.0038397141253312984)	(29, 0.004886105647323293)	(30, 0.006383114507495193)	(31, 0.008513764554687577)	(32, 0.011092507473179306)	(33, 0.01380757160322126)	(34, 0.01622601087479745)	(35, 0.01873785542095435)	(36, 0.02138602117866147)	(37, 0.02446713300638458)	(38, 0.02827150459538804)	(39, 0.032905163554655364)	(40, 0.03854356033238544)	(41, 0.04571304627317498)	(42, 0.05450197771784357)	(43, 0.06465664574489495)	(44, 0.07558632510427815)	(45, 0.08687826546102168)	(46, 0.09899570648770822)	(47, 0.11263666327681254)	(48, 0.12792609693892235)	(49, 0.14503567122191569)	(50, 0.1651417876921334)	(51, 0.188467861668505)	(52, 0.2154948040917771)	(53, 0.24604464004687027)	(54, 0.27959985382326974)	(55, 0.3157691530544888)	(56, 0.35471915255464437)	(57, 0.3965192751629518)	(58, 0.4418852072400498)	(59, 0.49217511196767955)	(60, 0.5476389115670164)	(61, 0.6096032133837944)	(62, 0.678538830491238)	(63, 0.75527000132585)	(64, 0.8388147082710926)	(65, 0.9295440479584081)
SRR30861169_1 - illumina_universal_adapter	(1, 0.0003195588913573529)	(2, 0.0003336275217944691)	(3, 0.0003557353696242231)	(4, 0.0003959314565874121)	(5, 0.00042808832615796335)	(6, 0.0004702942174693118)	(7, 0.0005305883479140955)	(8, 0.0005587256087883277)	(9, 0.0006290687609739085)	(10, 0.0006732844566334165)	(11, 0.0007034315218558083)	(12, 0.000822009978397216)	(13, 0.0009124511740643914)	(14, 0.0010551472827837124)	(15, 0.0012119120219401497)	(16, 0.0012822551741257305)	(17, 0.001511372869815908)	(18, 0.00168823565245394)	(19, 0.0017967650872545505)	(20, 0.001905294522055161)	(21, 0.002186667130797484)	(22, 0.002906177087438568)	(23, 0.003907059652821975)	(24, 0.004407500935513679)	(25, 0.004938089283427774)	(26, 0.005555099218312726)	(27, 0.006357011153228348)	(28, 0.007554854544731381)	(29, 0.009345590218941453)	(30, 0.011841767219355493)	(31, 0.015099660067721966)	(32, 0.019533288459761718)	(33, 0.02407142667790576)	(34, 0.02807897654813571)	(35, 0.03183731067919388)	(36, 0.0360498605929361)	(37, 0.04110853813725344)	(38, 0.04717412765999866)	(39, 0.05472898220473005)	(40, 0.06350579779314237)	(41, 0.07451952562105617)	(42, 0.08769982253628586)	(43, 0.10320546308233604)	(44, 0.1199652215416377)	(45, 0.13807556852290254)	(46, 0.15731140593913664)	(47, 0.17772699850774037)	(48, 0.2009121014681078)	(49, 0.22691695992894295)	(50, 0.2568007407817259)	(51, 0.2921049639614948)	(52, 0.33211212931595685)	(53, 0.37664738386682217)	(54, 0.4266613650707701)	(55, 0.4813059354928775)	(56, 0.5392144281763958)	(57, 0.6011143922953588)	(58, 0.6679846025673201)	(59, 0.74159368681866)	(60, 0.8233987532017942)	(61, 0.9163140180215539)	(62, 1.018249284755853)	(63, 1.1317931814051214)	(64, 1.2579003650347342)	(65, 1.3935621585354974)
SRR30861169_2 - illumina_universal_adapter	(1, 0.0002894118261349611)	(2, 0.0002954412391794395)	(3, 0.00030147065222391786)	(4, 0.00032357850005367185)	(5, 0.00035171576092790413)	(6, 0.0003677941957131798)	(7, 0.0003959314565874121)	(8, 0.0004120098913726877)	(9, 0.0004783334348619497)	(10, 0.0005104903044325009)	(11, 0.0005406373696548927)	(12, 0.0006411275870628652)	(13, 0.0007295589783818812)	(14, 0.0008481374349232889)	(15, 0.0009928433479907694)	(16, 0.0010551472827837124)	(17, 0.001288284587170209)	(18, 0.0014691669785045595)	(19, 0.0015797062176533296)	(20, 0.0017043140872392156)	(21, 0.0019696082611962633)	(22, 0.002687108413489188)	(23, 0.0036819615658281167)	(24, 0.004200491087653255)	(25, 0.004745148066004467)	(26, 0.005384265848719173)	(27, 0.006206275827116389)	(28, 0.007428236870797336)	(29, 0.009273237262407714)	(30, 0.011787502501955188)	(31, 0.015061473785106935)	(32, 0.01952323943802092)	(33, 0.024085495308342877)	(34, 0.02815333930901761)	(35, 0.03193780089660186)	(36, 0.0361885370929591)	(37, 0.04125726365901724)	(38, 0.04732888259480694)	(39, 0.05490182537867176)	(40, 0.06371481744535096)	(41, 0.07472050605587212)	(42, 0.0879711461232874)	(43, 0.1035692376693529)	(44, 0.12041139810692911)	(45, 0.1385438529360237)	(46, 0.15785807272183602)	(47, 0.17828974372522502)	(48, 0.2015371506203854)	(49, 0.2276625973421101)	(50, 0.25768304489056787)	(51, 0.29302545435295185)	(52, 0.3331753158161332)	(53, 0.37793566845399235)	(54, 0.4281707281362379)	(55, 0.48304642605838355)	(56, 0.5413166835245705)	(57, 0.6034598339696609)	(58, 0.6706013678286237)	(59, 0.7446646678626476)	(60, 0.8268636558980211)	(61, 0.9202150482613313)	(62, 1.0227673249305156)	(63, 1.1371633786234034)	(64, 1.2638755133618125)	(65, 1.400073924623534)
SRR30861170_1 - illumina_universal_adapter	(1, 0.0008554941371254584)	(2, 0.0009580120295909058)	(3, 0.0010852756202376682)	(4, 0.0014953471900994583)	(5, 0.0018029008674958007)	(6, 0.0021811565396959)	(7, 0.0025346665137146846)	(8, 0.0027997989942287727)	(9, 0.00323108116253169)	(10, 0.0035669156378495353)	(11, 0.0038320481183636234)	(12, 0.004436550173935745)	(13, 0.0050410522295078666)	(14, 0.0057586774767659984)	(15, 0.006197029844549291)	(16, 0.006547004718827888)	(17, 0.007119690876738319)	(18, 0.008049422108407723)	(19, 0.008484239376450826)	(20, 0.009046320235140695)	(21, 0.010244719047064374)	(22, 0.013571247902581135)	(23, 0.019086003497274174)	(24, 0.021705512404753366)	(25, 0.024056353731978283)	(26, 0.027414698485156735)	(27, 0.031345729396245615)	(28, 0.03706198567612936)	(29, 0.046214358903475694)	(30, 0.05839277750842282)	(31, 0.07430426143900831)	(32, 0.0952143764022194)	(33, 0.1169976610012569)	(34, 0.1371795454179893)	(35, 0.15557266936618666)	(36, 0.17451726887385333)	(37, 0.19672830054145354)	(38, 0.22295874061364737)	(39, 0.2544670845979416)	(40, 0.29049682114993614)	(41, 0.333176080313224)	(42, 0.38358306750856247)	(43, 0.44136780786167296)	(44, 0.5024119101752367)	(45, 0.5672279639115808)	(46, 0.635639214083696)	(47, 0.7085541813248104)	(48, 0.7871854048458087)	(49, 0.8763689010912676)	(50, 0.9762602144497555)	(51, 1.0878562430480054)	(52, 1.2116342253509427)	(53, 1.3483506727029673)	(54, 1.4978712513139525)	(55, 1.6601853558846773)	(56, 1.8335148312458274)	(57, 2.0081134074137053)	(58, 2.19131995144894)	(59, 2.3866023961966567)	(60, 2.5992916720650587)	(61, 2.8323042363398003)	(62, 3.085509290330495)	(63, 3.3667865713580207)	(64, 3.672636330679593)	(65, 3.998169525354531)
SRR30861170_2 - illumina_universal_adapter	(1, 0.00042421196882254136)	(2, 0.00046309806596460764)	(3, 0.0005161245620674253)	(4, 0.0006787391501160662)	(5, 0.0008837749350469611)	(6, 0.001021643824914287)	(7, 0.0011559776150414252)	(8, 0.0013610133999723201)	(9, 0.0017710849698341102)	(10, 0.0020008664529463202)	(11, 0.0022200426368379662)	(12, 0.002729096999425016)	(13, 0.0032452215614924415)	(14, 0.003863864016025314)	(15, 0.00426333028666654)	(16, 0.004616840260685325)	(17, 0.005147105221713502)	(18, 0.006090976852343656)	(19, 0.006522259020646573)	(20, 0.007077269679856065)	(21, 0.008318089688661998)	(22, 0.0116622940428797)	(23, 0.01725835693159706)	(24, 0.019881400938816438)	(25, 0.02223931246552173)	(26, 0.02566835921350394)	(27, 0.029723118615499398)	(28, 0.03555956828654953)	(29, 0.04492051239856694)	(30, 0.057296896588964585)	(31, 0.07347704809980435)	(32, 0.09470885713937255)	(33, 0.11677848481736526)	(34, 0.13715833481954817)	(35, 0.15581305614851945)	(36, 0.17504399873514132)	(37, 0.19741410989105)	(38, 0.2238778665460962)	(39, 0.2556902291080466)	(40, 0.29212296703042256)	(41, 0.33512745536980765)	(42, 0.38609298832409583)	(43, 0.4444433446356364)	(44, 0.5061025543039928)	(45, 0.5715443206943501)	(46, 0.6406696610139833)	(47, 0.7142209462083315)	(48, 0.7937218042654159)	(49, 0.8838456370417649)	(50, 0.9847550591254269)	(51, 1.0974575739423555)	(52, 1.222578894146564)	(53, 1.3608083641873894)	(54, 1.5119409482799)	(55, 1.6761145153139636)	(56, 1.8516180770153294)	(57, 2.0285250733135496)	(58, 2.2137925804973144)	(59, 2.41112538309434)	(60, 2.626586177159049)	(61, 2.8622005748425687)	(62, 3.1182301735256734)	(63, 3.403544538456494)	(64, 3.7129965644133174)	(65, 4.042439579400903)
