Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR30861166_1	(1, 34.57434492448191)	(2, 34.59025250751278)	(3, 34.484942434531476)	(4, 34.419816571049445)	(5, 34.456196386059396)	(6, 38.95235374468251)	(7, 39.038890059711974)	(8, 38.929197986184285)	(9, 38.96457869882527)	(10, 38.916014518206296)	(12, 38.95503961284783)	(14, 38.952715919291265)	(16, 38.91002770947976)	(18, 38.92381141942786)	(20, 38.922879444249304)	(22, 38.92262264371853)	(24, 38.883771611442846)	(26, 38.86098739413808)	(28, 38.837352378722244)	(30, 38.85660071029935)	(32, 38.77878390508528)	(34, 38.77218202396284)	(36, 38.76856105842407)	(38, 38.70781719548843)	(40, 38.6865402177731)	(42, 38.736187800023416)	(44, 38.74688209811497)	(46, 38.74765640245092)	(48, 38.68813565936854)	(50, 38.71149982437653)	(52, 38.631540412910276)	(54, 38.657328962260465)	(56, 38.63443702923155)	(58, 38.59668657065917)	(60, 38.60653085118838)	(62, 38.55978300745424)	(64, 38.63483979237404)	(66, 38.62773055457987)	(68, 38.64728330016001)	(70, 38.63405612145338)	(72, 38.58208484564649)	(74, 38.374163837177534)	(76, 37.69950435155915)
SRR30861166_2	(1, 33.300281778089996)	(2, 32.570484330484334)	(3, 32.16930570190844)	(4, 32.001123990165084)	(5, 32.005477890957344)	(6, 35.64990360223237)	(7, 35.76961323810639)	(8, 35.70249073098388)	(9, 35.67545720641611)	(10, 35.67159817351598)	(12, 35.63952542637474)	(14, 35.669389220622094)	(16, 35.637975256605394)	(18, 35.644862038012725)	(20, 35.73154977949498)	(22, 35.66116145650392)	(24, 35.684239940678296)	(26, 35.640533114779686)	(28, 35.62748546227998)	(30, 35.63564609920774)	(32, 35.60084455372127)	(34, 35.59306092182805)	(36, 35.567855442375986)	(38, 35.53676150333685)	(40, 35.51126722085626)	(42, 35.52293642430629)	(44, 35.408977871443625)	(46, 35.44206064863599)	(48, 35.42287163876205)	(50, 35.35661554072513)	(52, 35.39682472778363)	(54, 35.39050852749483)	(56, 35.391136088670336)	(58, 35.42585411544316)	(60, 35.44780704835499)	(62, 35.4079709635874)	(64, 35.41638293720486)	(66, 35.34616009054365)	(68, 35.17259415369004)	(70, 35.12882644499083)	(72, 35.15064200132693)	(74, 35.11742731139991)	(76, 34.21297584201694)
SRR30861167_1	(1, 34.600384037327366)	(2, 34.65536325071455)	(3, 34.698772108164874)	(4, 34.70613015026731)	(5, 34.71210080615496)	(6, 39.50520786809763)	(7, 39.5125300663077)	(8, 39.50588476621883)	(9, 39.50698899006048)	(10, 39.48069048159967)	(12, 39.48789272969009)	(14, 39.485858927980516)	(16, 39.483122034536095)	(18, 39.45950655520893)	(20, 39.469649020019666)	(22, 39.461569811057174)	(24, 39.43637680657703)	(26, 39.43354493119439)	(28, 39.422347664661)	(30, 39.42032272545228)	(32, 39.36562787798774)	(34, 39.34244947313198)	(36, 39.34087155409007)	(38, 39.35182197262113)	(40, 39.352464405461205)	(42, 39.34897856504601)	(44, 39.346463923428686)	(46, 39.33724114549727)	(48, 39.317015977579146)	(50, 39.305868428581434)	(52, 39.293742415723415)	(54, 39.29148077115224)	(56, 39.294423701329606)	(58, 39.27963055713269)	(60, 39.26665637011834)	(62, 39.242568355375)	(64, 39.23016380833872)	(66, 39.204612890120174)	(68, 39.22060683753539)	(70, 39.22032970385111)	(72, 39.2146473199513)	(74, 39.142973649574785)	(76, 38.82508937667996)
SRR30861167_2	(1, 34.39501951960344)	(2, 34.40941222099917)	(3, 34.4014576778821)	(4, 34.411725924556876)	(5, 34.40180379683542)	(6, 39.13963084554692)	(7, 39.16845128257018)	(8, 39.166519366796415)	(9, 39.167995181075334)	(10, 39.17148871326597)	(12, 39.15294056027899)	(14, 39.155349552132975)	(16, 39.14766962618759)	(18, 39.15973299976485)	(20, 39.16993113421061)	(22, 39.15341738470794)	(24, 39.165616803144076)	(26, 39.16157785514437)	(28, 39.14685274431825)	(30, 39.1485752205964)	(32, 39.14591862578631)	(34, 39.13368009199145)	(36, 39.11718439573128)	(38, 39.07985965606232)	(40, 39.062051073301376)	(42, 39.06394605104687)	(44, 39.05006491289518)	(46, 39.05079351987942)	(48, 39.00364705039997)	(50, 39.01560913981617)	(52, 39.01000081797601)	(54, 38.99359016890001)	(56, 38.99138163368583)	(58, 38.98292907272726)	(60, 38.96743040781378)	(62, 38.96238726187718)	(64, 38.963837768792544)	(66, 38.93703472144022)	(68, 38.920704469470785)	(70, 38.91904962173315)	(72, 38.90084720475191)	(74, 38.885439768890485)	(76, 38.42350869603902)
SRR30861168_1	(1, 34.5738870054683)	(2, 34.629574157274895)	(3, 34.67646797244211)	(4, 34.68451773998415)	(5, 34.69041735597235)	(6, 39.46702402514934)	(7, 39.47768410406822)	(8, 39.470497729444)	(9, 39.4723066866766)	(10, 39.44596148915676)	(12, 39.45371534500222)	(14, 39.452314272194684)	(16, 39.450016414083656)	(18, 39.42659544539724)	(20, 39.4368772266429)	(22, 39.42869979049954)	(24, 39.4049000255577)	(26, 39.400639230356695)	(28, 39.389435766252944)	(30, 39.3876290873517)	(32, 39.33351209714431)	(34, 39.31293578609525)	(36, 39.31067464004384)	(38, 39.32060994452131)	(40, 39.32123620795387)	(42, 39.31787251992587)	(44, 39.31459362874039)	(46, 39.305530710594006)	(48, 39.28504454194609)	(50, 39.27326079126284)	(52, 39.26115418019907)	(54, 39.25863282472394)	(56, 39.26252600074663)	(58, 39.248407660959245)	(60, 39.23570692292631)	(62, 39.21188953720564)	(64, 39.19992963553464)	(66, 39.17033572683087)	(68, 39.18977173618998)	(70, 39.18902573729328)	(72, 39.18264341799285)	(74, 39.10691622132546)	(76, 38.78098168388202)
SRR30861168_2	(1, 34.446160757949976)	(2, 34.45177929979569)	(3, 34.451799432419065)	(4, 34.46150417733632)	(5, 34.45149387094784)	(6, 39.18014519925668)	(7, 39.20925281990524)	(8, 39.212792097227116)	(9, 39.21348050672311)	(10, 39.22375783859589)	(12, 39.20996323644127)	(14, 39.212881829402384)	(16, 39.20724766110668)	(18, 39.21993450194944)	(20, 39.231673998728276)	(22, 39.21644987302436)	(24, 39.2278711228859)	(26, 39.22483461838796)	(28, 39.210155846953086)	(30, 39.21194922822504)	(32, 39.2100014442475)	(34, 39.19884744707228)	(36, 39.181718484883646)	(38, 39.14503661158582)	(40, 39.12825055404475)	(42, 39.12949257281648)	(44, 39.11622189851825)	(46, 39.11661945787377)	(48, 39.07110242383153)	(50, 39.08272250070458)	(52, 39.07765432419466)	(54, 39.061626566015164)	(56, 39.060465563696795)	(58, 39.051990694865566)	(60, 39.03666769841628)	(62, 39.03133001613337)	(64, 39.0323553094234)	(66, 39.005760315905725)	(68, 38.99133493152283)	(70, 38.98999833991058)	(72, 38.97144035906603)	(74, 38.95541565549146)	(76, 38.49523392013051)
SRR30861169_1	(1, 34.58021656727146)	(2, 34.635444101542795)	(3, 34.68249874633429)	(4, 34.689601957645905)	(5, 34.694119736546)	(6, 39.47354581963007)	(7, 39.4792671899621)	(8, 39.47292171508583)	(9, 39.47243656841423)	(10, 39.442959762892926)	(12, 39.451249492348545)	(14, 39.44826222970468)	(16, 39.44509806408209)	(18, 39.42175251844061)	(20, 39.43292897007757)	(22, 39.42448916853128)	(24, 39.40171080977489)	(26, 39.39758644002693)	(28, 39.386816662250794)	(30, 39.3847154620499)	(32, 39.33127290536332)	(34, 39.31238036262779)	(36, 39.30962453900364)	(38, 39.321165880669035)	(40, 39.32197989162613)	(42, 39.31866200611796)	(44, 39.31655766057327)	(46, 39.30853662186096)	(48, 39.28673302826245)	(50, 39.27530364274827)	(52, 39.26214645858305)	(54, 39.26104782918319)	(56, 39.26436657890722)	(58, 39.24855321721742)	(60, 39.23483678489428)	(62, 39.211248414691454)	(64, 39.19989497968359)	(66, 39.17001390201766)	(68, 39.18971877752364)	(70, 39.18857251576074)	(72, 39.18179341554733)	(74, 39.10251986857407)	(76, 38.7537099129198)
SRR30861169_2	(1, 34.41151903685674)	(2, 34.418547061387684)	(3, 34.408103354268995)	(4, 34.42003907984163)	(5, 34.40222859566911)	(6, 39.13475637664192)	(7, 39.15040644172843)	(8, 39.15476158726067)	(9, 39.152177079359156)	(10, 39.15746130719644)	(12, 39.138775884848016)	(14, 39.13809707342943)	(16, 39.12688815340322)	(18, 39.13656283903515)	(20, 39.146028314083466)	(22, 39.12586117352838)	(24, 39.13347182024181)	(26, 39.12669016757688)	(28, 39.11006019223336)	(30, 39.10797451777106)	(32, 39.10301101451165)	(34, 39.09099276637248)	(36, 39.07321298196138)	(38, 39.03597438239064)	(40, 39.01980622993926)	(42, 39.022365424355016)	(44, 39.0069075468093)	(46, 39.00669989382405)	(48, 38.957987914121944)	(50, 38.968500728363146)	(52, 38.962139064512854)	(54, 38.94392892069668)	(56, 38.9416326689838)	(58, 38.93181708601804)	(60, 38.91341350858238)	(62, 38.90670766573746)	(64, 38.907914352268094)	(66, 38.87895616670981)	(68, 38.85983530015132)	(70, 38.85372483169748)	(72, 38.83299085597306)	(74, 38.81494928449659)	(76, 38.29213139288867)
SRR30861170_1	(1, 34.56598321994206)	(2, 34.61207583001049)	(3, 34.663592555716264)	(4, 34.66718075265455)	(5, 34.6713531601759)	(6, 39.42792131362892)	(7, 39.432691294410354)	(8, 39.42981001136711)	(9, 39.43281636623916)	(10, 39.402455356551044)	(12, 39.41318922734916)	(14, 39.40836713919756)	(16, 39.40466497064365)	(18, 39.379691329231086)	(20, 39.39012238338546)	(22, 39.3823212843583)	(24, 39.35989586656696)	(26, 39.35590053219159)	(28, 39.3447758384417)	(30, 39.342847918771895)	(32, 39.28635057336666)	(34, 39.26882674812008)	(36, 39.264899146255736)	(38, 39.274317871573004)	(40, 39.27447481232598)	(42, 39.271547201800644)	(44, 39.27022044351715)	(46, 39.2615565150209)	(48, 39.239112590982415)	(50, 39.22823070555819)	(52, 39.21572444180333)	(54, 39.21423266506397)	(56, 39.214961107716434)	(58, 39.19731804355561)	(60, 39.18254829078811)	(62, 39.158840798374)	(64, 39.14823000207333)	(66, 39.11441417476013)	(68, 39.13595309558963)	(70, 39.13615332363891)	(72, 39.12943688158954)	(74, 39.04077318640988)	(76, 38.65933965397383)
SRR30861170_2	(1, 34.44193059574031)	(2, 34.43008200194112)	(3, 34.430392913963274)	(4, 34.39433825495811)	(5, 34.4401143675468)	(6, 39.17369390879337)	(7, 39.184361284365366)	(8, 39.198864879473426)	(9, 39.199093847883596)	(10, 39.20017033878098)	(12, 39.184297705596535)	(14, 39.180614184693766)	(16, 39.170005032214476)	(18, 39.18081458949803)	(20, 39.188422141814414)	(22, 39.16977505630088)	(24, 39.17997364229633)	(26, 39.17373466849337)	(28, 39.1592053555347)	(30, 39.15788259191392)	(32, 39.153312733128786)	(34, 39.13985241665604)	(36, 39.121900402453434)	(38, 39.0849881105758)	(40, 39.06980950584785)	(42, 39.07189293455522)	(44, 39.05664939004505)	(46, 39.05607673923814)	(48, 39.00675453274907)	(50, 39.01643837287136)	(52, 39.00944758940665)	(54, 38.99177115390428)	(56, 38.989923834508545)	(58, 38.97959901010137)	(60, 38.95996994458201)	(62, 38.95299293033079)	(64, 38.952427084590866)	(66, 38.92036403043085)	(68, 38.89661091755458)	(70, 38.89035900528657)	(72, 38.86863756725748)	(74, 38.84866004695673)	(76, 38.27508664971351)
