Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR30861166_1	(18.0, 6.0)	(19.0, 12.0)	(20.0, 18.0)	(21.0, 61.0)	(22.0, 159.0)	(23.0, 369.0)	(24.0, 841.0)	(25.0, 1552.0)	(26.0, 2571.0)	(27.0, 3426.0)	(28.0, 4282.0)	(29.0, 4992.0)	(30.0, 5682.0)	(31.0, 6819.0)	(32.0, 8006.0)	(33.0, 9477.0)	(34.0, 11515.0)	(35.0, 13688.0)	(36.0, 17895.0)	(37.0, 26316.0)	(38.0, 52832.0)	(39.0, 470056.0)																
SRR30861166_2	(2.0, 98.0)	(3.0, 25.0)	(4.0, 30.0)	(5.0, 15.0)	(6.0, 14.0)	(7.0, 11.0)	(8.0, 9.0)	(9.0, 11.0)	(10.0, 8.0)	(11.0, 7.0)	(12.0, 11.0)	(13.0, 5.0)	(14.0, 58.0)	(15.0, 407.0)	(16.0, 2651.0)	(17.0, 7615.0)	(18.0, 12061.0)	(19.0, 14522.0)	(20.0, 14711.0)	(21.0, 13221.0)	(22.0, 11210.0)	(23.0, 9653.0)	(24.0, 8496.0)	(25.0, 8173.0)	(26.0, 7496.0)	(27.0, 7377.0)	(28.0, 7252.0)	(29.0, 7652.0)	(30.0, 7748.0)	(31.0, 8047.0)	(32.0, 8290.0)	(33.0, 9302.0)	(34.0, 10439.0)	(35.0, 12727.0)	(36.0, 16555.0)	(37.0, 23696.0)	(38.0, 44816.0)	(39.0, 366156.0)
SRR30861167_1	(14.0, 5.0)	(15.0, 7.0)	(16.0, 13.0)	(17.0, 60.0)	(18.0, 167.0)	(19.0, 332.0)	(20.0, 648.0)	(21.0, 1563.0)	(22.0, 3422.0)	(23.0, 7152.0)	(24.0, 14643.0)	(25.0, 28280.0)	(26.0, 48764.0)	(27.0, 74751.0)	(28.0, 107176.0)	(29.0, 143176.0)	(30.0, 183301.0)	(31.0, 229953.0)	(32.0, 283398.0)	(33.0, 350754.0)	(34.0, 438471.0)	(35.0, 570035.0)	(36.0, 800040.0)	(37.0, 1295356.0)	(38.0, 2917669.0)	(39.0, 38199026.0)												
SRR30861167_2	(2.0, 7323.0)	(3.0, 1387.0)	(4.0, 2945.0)	(5.0, 948.0)	(6.0, 1132.0)	(7.0, 965.0)	(8.0, 646.0)	(9.0, 552.0)	(10.0, 670.0)	(11.0, 445.0)	(12.0, 606.0)	(13.0, 559.0)	(14.0, 1421.0)	(15.0, 1969.0)	(16.0, 7807.0)	(17.0, 23408.0)	(18.0, 23859.0)	(19.0, 30328.0)	(20.0, 41959.0)	(21.0, 52547.0)	(22.0, 63906.0)	(23.0, 76216.0)	(24.0, 90975.0)	(25.0, 107562.0)	(26.0, 126765.0)	(27.0, 147082.0)	(28.0, 169677.0)	(29.0, 193167.0)	(30.0, 223479.0)	(31.0, 259119.0)	(32.0, 306172.0)	(33.0, 369798.0)	(34.0, 460517.0)	(35.0, 601753.0)	(36.0, 839821.0)	(37.0, 1335106.0)	(38.0, 2954875.0)	(39.0, 37170696.0)
SRR30861168_1	(14.0, 3.0)	(15.0, 4.0)	(16.0, 11.0)	(17.0, 60.0)	(18.0, 159.0)	(19.0, 337.0)	(20.0, 739.0)	(21.0, 1795.0)	(22.0, 4603.0)	(23.0, 11214.0)	(24.0, 25506.0)	(25.0, 51035.0)	(26.0, 89020.0)	(27.0, 137509.0)	(28.0, 196753.0)	(29.0, 263709.0)	(30.0, 338810.0)	(31.0, 424360.0)	(32.0, 523933.0)	(33.0, 647783.0)	(34.0, 807184.0)	(35.0, 1049971.0)	(36.0, 1462117.0)	(37.0, 2352321.0)	(38.0, 5244669.0)	(39.0, 65591043.0)												
SRR30861168_2	(2.0, 12489.0)	(3.0, 2298.0)	(4.0, 4965.0)	(5.0, 1630.0)	(6.0, 1911.0)	(7.0, 1705.0)	(8.0, 1196.0)	(9.0, 901.0)	(10.0, 1190.0)	(11.0, 833.0)	(12.0, 1118.0)	(13.0, 915.0)	(14.0, 1920.0)	(15.0, 2893.0)	(16.0, 12787.0)	(17.0, 38946.0)	(18.0, 39556.0)	(19.0, 48329.0)	(20.0, 61812.0)	(21.0, 75335.0)	(22.0, 88645.0)	(23.0, 106549.0)	(24.0, 128341.0)	(25.0, 155131.0)	(26.0, 186082.0)	(27.0, 221360.0)	(28.0, 258725.0)	(29.0, 303269.0)	(30.0, 352448.0)	(31.0, 416348.0)	(32.0, 500309.0)	(33.0, 611161.0)	(34.0, 773630.0)	(35.0, 1025053.0)	(36.0, 1453301.0)	(37.0, 2337448.0)	(38.0, 5193874.0)	(39.0, 64800245.0)
SRR30861169_1	(14.0, 2.0)	(15.0, 3.0)	(16.0, 20.0)	(17.0, 62.0)	(18.0, 146.0)	(19.0, 303.0)	(20.0, 659.0)	(21.0, 1472.0)	(22.0, 3350.0)	(23.0, 8032.0)	(24.0, 17114.0)	(25.0, 33332.0)	(26.0, 57644.0)	(27.0, 88130.0)	(28.0, 124753.0)	(29.0, 166705.0)	(30.0, 213784.0)	(31.0, 267213.0)	(32.0, 329361.0)	(33.0, 405608.0)	(34.0, 505402.0)	(35.0, 654400.0)	(36.0, 913286.0)	(37.0, 1471638.0)	(38.0, 3278116.0)	(39.0, 41215552.0)												
SRR30861169_2	(2.0, 7850.0)	(3.0, 1483.0)	(4.0, 3014.0)	(5.0, 1031.0)	(6.0, 1244.0)	(7.0, 1043.0)	(8.0, 739.0)	(9.0, 596.0)	(10.0, 725.0)	(11.0, 501.0)	(12.0, 680.0)	(13.0, 558.0)	(14.0, 1325.0)	(15.0, 1758.0)	(16.0, 7248.0)	(17.0, 22187.0)	(18.0, 24990.0)	(19.0, 34849.0)	(20.0, 48292.0)	(21.0, 60048.0)	(22.0, 72503.0)	(23.0, 85861.0)	(24.0, 103028.0)	(25.0, 121246.0)	(26.0, 143167.0)	(27.0, 166812.0)	(28.0, 193571.0)	(29.0, 222230.0)	(30.0, 257351.0)	(31.0, 300433.0)	(32.0, 356219.0)	(33.0, 426631.0)	(34.0, 529883.0)	(35.0, 691497.0)	(36.0, 963240.0)	(37.0, 1524253.0)	(38.0, 3327343.0)	(39.0, 40050658.0)
SRR30861170_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 8.0)	(17.0, 28.0)	(18.0, 46.0)	(19.0, 113.0)	(20.0, 270.0)	(21.0, 638.0)	(22.0, 1790.0)	(23.0, 4566.0)	(24.0, 10559.0)	(25.0, 21026.0)	(26.0, 36011.0)	(27.0, 55654.0)	(28.0, 78683.0)	(29.0, 104119.0)	(30.0, 132304.0)	(31.0, 164626.0)	(32.0, 202427.0)	(33.0, 247259.0)	(34.0, 306830.0)	(35.0, 397524.0)	(36.0, 550841.0)	(37.0, 879611.0)	(38.0, 1951792.0)	(39.0, 23141018.0)												
SRR30861170_2	(2.0, 4465.0)	(3.0, 866.0)	(4.0, 1780.0)	(5.0, 559.0)	(6.0, 642.0)	(7.0, 605.0)	(8.0, 468.0)	(9.0, 331.0)	(10.0, 430.0)	(11.0, 292.0)	(12.0, 390.0)	(13.0, 370.0)	(14.0, 508.0)	(15.0, 845.0)	(16.0, 3991.0)	(17.0, 12463.0)	(18.0, 13634.0)	(19.0, 17966.0)	(20.0, 23292.0)	(21.0, 28781.0)	(22.0, 34396.0)	(23.0, 41310.0)	(24.0, 50049.0)	(25.0, 59956.0)	(26.0, 72437.0)	(27.0, 86283.0)	(28.0, 100653.0)	(29.0, 117238.0)	(30.0, 136342.0)	(31.0, 162479.0)	(32.0, 194590.0)	(33.0, 237134.0)	(34.0, 299559.0)	(35.0, 395449.0)	(36.0, 557331.0)	(37.0, 889462.0)	(38.0, 1955921.0)	(39.0, 22784478.0)
