Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR30861166_1	(1.0, 55.468539608054634)	(2.0, 9.008178427355853)	(3.0, 2.4260521633508545)	(4.0, 1.467698946689912)	(5.0, 1.0561665713602724)	(6.0, 0.8321474296608178)	(7.0, 0.7061712749214294)	(8.0, 0.599392966628182)	(9.0, 0.5678388642505757)	('>10', 9.797976500661223)	('>50', 4.727402882567542)	('>100', 7.5218323308491835)	('>500', 1.3464669049687206)	('>1k', 4.474135128680777)	('>5k', 0.0)	('>10k+', 0.0)
SRR30861166_2	(1.0, 63.019146062292684)	(2.0, 7.5452276235799545)	(3.0, 2.1622214931298336)	(4.0, 1.2694812171638237)	(5.0, 0.9780055985320119)	(6.0, 0.8650412725023617)	(7.0, 0.7205176781002752)	(8.0, 0.6324071549090555)	(9.0, 0.6112528463886047)	('>10', 9.849868331734541)	('>50', 3.642227059821705)	('>100', 6.470582870438742)	('>500', 1.2675585047470284)	('>1k', 0.9664622866593385)	('>5k', 0.0)	('>10k+', 0.0)
SRR30861167_1	(1.0, 39.41891029056453)	(2.0, 13.506140296214195)	(3.0, 6.5170486454438015)	(4.0, 4.056750424214797)	(5.0, 2.7948144720534014)	(6.0, 2.154189455540032)	(7.0, 1.7085406492924973)	(8.0, 1.3686302460223732)	(9.0, 1.1526540307557493)	('>10', 12.4590167314708)	('>50', 2.9498161848852495)	('>100', 4.968571026705103)	('>500', 1.8615188845806423)	('>1k', 2.9397683486559183)	('>5k', 0.6730208844635133)	('>10k+', 1.4706094291371854)
SRR30861167_2	(1.0, 47.98220912094915)	(2.0, 13.96250005484754)	(3.0, 6.085693410337932)	(4.0, 3.53926257609799)	(5.0, 2.3761664969205842)	(6.0, 1.7841937316316887)	(7.0, 1.385829031444354)	(8.0, 1.136993328307106)	(9.0, 0.9524065386138637)	('>10', 8.851768192577232)	('>50', 2.0018673918694962)	('>100', 4.408679443185512)	('>500', 1.7166313138795952)	('>1k', 2.573179948811362)	('>5k', 0.6460824153147894)	('>10k+', 0.5965370052116138)
SRR30861168_1	(1.0, 33.217918376291564)	(2.0, 13.242595395280182)	(3.0, 6.786875713546538)	(4.0, 4.278495385675771)	(5.0, 3.2145576533049605)	(6.0, 2.390181517407584)	(7.0, 1.9349087967481007)	(8.0, 1.58177179629397)	(9.0, 1.3206010934256562)	('>10', 15.201022373654126)	('>50', 3.6505089825413317)	('>100', 5.636989743388768)	('>500', 1.85258297341182)	('>1k', 3.8011882657116107)	('>5k', 0.807384754969922)	('>10k+', 1.082417178348269)
SRR30861168_2	(1.0, 41.30089095146653)	(2.0, 14.495968763619008)	(3.0, 6.647744009540249)	(4.0, 4.033368637802733)	(5.0, 2.8607330320612996)	(6.0, 2.2295716210146357)	(7.0, 1.6569920242117717)	(8.0, 1.4499870560552914)	(9.0, 1.2331113861376701)	('>10', 11.410251871433028)	('>50', 2.3557280644201968)	('>100', 4.211023867688778)	('>500', 1.8959049177192255)	('>1k', 3.290228319853128)	('>5k', 0.5530426634482711)	('>10k+', 0.3754528135281365)
SRR30861169_1	(1.0, 23.850449660837818)	(2.0, 16.58508932679307)	(3.0, 9.072648048910228)	(4.0, 4.849656465699172)	(5.0, 3.0473577049248495)	(6.0, 2.209757827016511)	(7.0, 1.7453406699884075)	(8.0, 1.3399892381422447)	(9.0, 1.1823718743882792)	('>10', 11.424857310390356)	('>50', 2.766100666253754)	('>100', 6.151752173849722)	('>500', 3.01467415856919)	('>1k', 6.973908835756914)	('>5k', 2.696923227504908)	('>10k+', 3.0891228109745055)
SRR30861169_2	(1.0, 26.126924877543207)	(2.0, 17.873211800792898)	(3.0, 9.246760434692629)	(4.0, 4.925384167415216)	(5.0, 3.0373419142977123)	(6.0, 2.116792478187805)	(7.0, 1.568336853093411)	(8.0, 1.244279123511674)	(9.0, 1.0040833833573384)	('>10', 9.245695270853084)	('>50', 2.285751762993549)	('>100', 6.376770770219001)	('>500', 3.4131215533812336)	('>1k', 7.339753922335968)	('>5k', 2.373778206184899)	('>10k+', 1.8220134811400401)
SRR30861170_1	(1.0, 35.86548805507198)	(2.0, 11.050035709082884)	(3.0, 5.045519422035684)	(4.0, 3.136012552437501)	(5.0, 2.2419309730965917)	(6.0, 1.7677312481666474)	(7.0, 1.4408676087240653)	(8.0, 1.16137527347565)	(9.0, 1.0686182823312733)	('>10', 11.04768702758901)	('>50', 3.3173393371198436)	('>100', 7.65570447882898)	('>500', 3.469951582472152)	('>1k', 6.120402705582015)	('>5k', 1.9576335900235762)	('>10k+', 3.653702153962235)
SRR30861170_2	(1.0, 38.85227729387676)	(2.0, 11.374173718184114)	(3.0, 5.263415348198416)	(4.0, 3.1365559419614457)	(5.0, 2.2087049056712953)	(6.0, 1.6165967551720415)	(7.0, 1.3444501301339495)	(8.0, 1.032681795403703)	(9.0, 0.8780796472791653)	('>10', 9.400242251106972)	('>50', 3.192439759876766)	('>100', 8.005397973161653)	('>500', 3.269163116532198)	('>1k', 5.8001887726196335)	('>5k', 2.052567154393124)	('>10k+', 2.573065436428922)
