Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR30861166_1	37.668859344843185	51.0	76.0	76	18.181818181818183	0.640575
SRR30861166_2	30.997280346568218	51.0	76.0	76	9.090909090909092	0.640575
SRR30861167_1	48.404902837251186	44.0	76.0	76	9.090909090909092	45.698161999999996
SRR30861167_2	40.33736119275463	44.0	76.0	76	0.0	45.698161999999996
SRR30861168_1	54.23814102360215	44.0	76.0	76	18.181818181818183	79.224648
SRR30861168_2	46.010572003812925	44.0	76.0	76	0.0	79.224648
SRR30861169_1	61.367992663420345	49.0	76.0	76	18.181818181818183	49.756087
SRR30861169_2	58.56321376125313	49.0	76.0	76	9.090909090909092	49.756087
SRR30861170_1	54.22123918533225	51.0	76.0	76	27.27272727272727	28.287744999999997
SRR30861170_2	51.183324699646874	51.0	76.0	76	18.181818181818183	28.287744999999997
SRR30861171_1	48.626725696328734	46.0	76.0	76	9.090909090909092	44.906332
SRR30861171_2	44.42788210960933	47.0	76.0	76	0.0	44.906332
