"ensembl_gene_id"	"external_gene_name"	"gene_biotype"
"ENSG00000000457"	"SCYL3"	"protein_coding"
"ENSG00000000460"	"FIRRM"	"protein_coding"
"ENSG00000001460"	"STPG1"	"protein_coding"
"ENSG00000001461"	"NIPAL3"	"protein_coding"
"ENSG00000001617"	"SEMA3F"	"protein_coding"
"ENSG00000002549"	"LAP3"	"protein_coding"
"ENSG00000003137"	"CYP26B1"	"protein_coding"
"ENSG00000003393"	"ALS2"	"protein_coding"
"ENSG00000003402"	"CFLAR"	"protein_coding"
"ENSG00000003436"	"TFPI"	"protein_coding"
"ENSG00000003509"	"NDUFAF7"	"protein_coding"
"ENSG00000003756"	"RBM5"	"protein_coding"
"ENSG00000004399"	"PLXND1"	"protein_coding"
"ENSG00000004455"	"AK2"	"protein_coding"
"ENSG00000004487"	"KDM1A"	"protein_coding"
"ENSG00000004534"	"RBM6"	"protein_coding"
"ENSG00000004838"	"ZMYND10"	"protein_coding"
"ENSG00000005059"	"MCUB"	"protein_coding"
"ENSG00000005436"	"GCFC2"	"protein_coding"
"ENSG00000005448"	"WDR54"	"protein_coding"
"ENSG00000006607"	"FARP2"	"protein_coding"
"ENSG00000007341"	"ST7L"	"protein_coding"
"ENSG00000007402"	"CACNA2D2"	"protein_coding"
"ENSG00000007923"	"DNAJC11"	"protein_coding"
"ENSG00000007968"	"E2F2"	"protein_coding"
"ENSG00000008128"	"CDK11A"	"protein_coding"
"ENSG00000008130"	"NADK"	"protein_coding"
"ENSG00000008226"	"DLEC1"	"protein_coding"
"ENSG00000008300"	"CELSR3"	"protein_coding"
"ENSG00000008324"	"SS18L2"	"protein_coding"
"ENSG00000008869"	"HEATR5B"	"protein_coding"
"ENSG00000008952"	"SEC62"	"protein_coding"
"ENSG00000009307"	"CSDE1"	"protein_coding"
"ENSG00000009780"	"FAM76A"	"protein_coding"
"ENSG00000010072"	"SPRTN"	"protein_coding"
"ENSG00000010165"	"METTL13"	"protein_coding"
"ENSG00000010256"	"UQCRC1"	"protein_coding"
"ENSG00000010318"	"PHF7"	"protein_coding"
"ENSG00000010319"	"SEMA3G"	"protein_coding"
"ENSG00000010322"	"NISCH"	"protein_coding"
"ENSG00000010803"	"SCMH1"	"protein_coding"
"ENSG00000011007"	"ELOA"	"protein_coding"
"ENSG00000011009"	"LYPLA2"	"protein_coding"
"ENSG00000011021"	"CLCN6"	"protein_coding"
"ENSG00000011198"	"ABHD5"	"protein_coding"
"ENSG00000011376"	"LARS2"	"protein_coding"
"ENSG00000011523"	"CEP68"	"protein_coding"
"ENSG00000011566"	"MAP4K3"	"protein_coding"
"ENSG00000012171"	"SEMA3B"	"protein_coding"
"ENSG00000013016"	"EHD3"	"protein_coding"
"ENSG00000013288"	"MAN2B2"	"protein_coding"
"ENSG00000013297"	"CLDN11"	"protein_coding"
"ENSG00000013441"	"CLK1"	"protein_coding"
"ENSG00000013810"	"TACC3"	"protein_coding"
"ENSG00000014641"	"MDH1"	"protein_coding"
"ENSG00000014824"	"SLC30A9"	"protein_coding"
"ENSG00000014914"	"MTMR11"	"protein_coding"
"ENSG00000015479"	"MATR3"	"protein_coding"
"ENSG00000015568"	"RGPD5"	"protein_coding"
"ENSG00000016391"	"CHDH"	"protein_coding"
"ENSG00000016864"	"GLT8D1"	"protein_coding"
"ENSG00000017260"	"ATP2C1"	"protein_coding"
"ENSG00000018189"	"RUFY3"	"protein_coding"
"ENSG00000018408"	"WWTR1"	"protein_coding"
"ENSG00000018510"	"AGPS"	"protein_coding"
"ENSG00000018699"	"TTC27"	"protein_coding"
"ENSG00000020129"	"NCDN"	"protein_coding"
"ENSG00000021574"	"SPAST"	"protein_coding"
"ENSG00000021826"	"CPS1"	"protein_coding"
"ENSG00000023228"	"NDUFS1"	"protein_coding"
"ENSG00000023330"	"ALAS1"	"protein_coding"
"ENSG00000023572"	"GLRX2"	"protein_coding"
"ENSG00000023902"	"PLEKHO1"	"protein_coding"
"ENSG00000023909"	"GCLM"	"protein_coding"
"ENSG00000024526"	"DEPDC1"	"protein_coding"
"ENSG00000025800"	"KPNA6"	"protein_coding"
"ENSG00000027869"	"SH2D2A"	"protein_coding"
"ENSG00000028116"	"VRK2"	"protein_coding"
"ENSG00000028137"	"TNFRSF1B"	"protein_coding"
"ENSG00000030419"	"IKZF2"	"protein_coding"
"ENSG00000031081"	"ARHGAP31"	"protein_coding"
"ENSG00000031698"	"SARS1"	"protein_coding"
"ENSG00000032389"	"EIPR1"	"protein_coding"
"ENSG00000033178"	"UBA6"	"protein_coding"
"ENSG00000033867"	"SLC4A7"	"protein_coding"
"ENSG00000034510"	"TMSB10"	"protein_coding"
"ENSG00000034533"	"ASTE1"	"protein_coding"
"ENSG00000035115"	"SH3YL1"	"protein_coding"
"ENSG00000035141"	"FAM136A"	"protein_coding"
"ENSG00000035687"	"ADSS2"	"protein_coding"
"ENSG00000035928"	"RFC1"	"protein_coding"
"ENSG00000036054"	"TBC1D23"	"protein_coding"
"ENSG00000036257"	"CUL3"	"protein_coding"
"ENSG00000036549"	"ZZZ3"	"protein_coding"
"ENSG00000037474"	"NSUN2"	"protein_coding"
"ENSG00000037637"	"FBXO42"	"protein_coding"
"ENSG00000037749"	"MFAP3"	"protein_coding"
"ENSG00000038002"	"AGA"	"protein_coding"
"ENSG00000038210"	"PI4K2B"	"protein_coding"
"ENSG00000038219"	"BOD1L1"	"protein_coding"
"ENSG00000039123"	"MTREX"	"protein_coding"
"ENSG00000039139"	"DNAH5"	"protein_coding"
"ENSG00000039319"	"ZFYVE16"	"protein_coding"
"ENSG00000040487"	"SLC66A1"	"protein_coding"
"ENSG00000040731"	"CDH10"	"protein_coding"
"ENSG00000040933"	"INPP4A"	"protein_coding"
"ENSG00000041802"	"LSG1"	"protein_coding"
"ENSG00000041880"	"PARP3"	"protein_coding"
"ENSG00000041988"	"THAP3"	"protein_coding"
"ENSG00000042445"	"RETSAT"	"protein_coding"
"ENSG00000042493"	"CAPG"	"protein_coding"
"ENSG00000043093"	"DCUN1D1"	"protein_coding"
"ENSG00000043143"	"JADE2"	"protein_coding"
"ENSG00000043514"	"TRIT1"	"protein_coding"
"ENSG00000044115"	"CTNNA1"	"protein_coding"
"ENSG00000047315"	"POLR2B"	"protein_coding"
"ENSG00000047365"	"ARAP2"	"protein_coding"
"ENSG00000047410"	"TPR"	"protein_coding"
"ENSG00000047457"	"CP"	"protein_coding"
"ENSG00000047849"	"MAP4"	"protein_coding"
"ENSG00000048140"	"TSPAN17"	"protein_coding"
"ENSG00000048342"	"CC2D2A"	"protein_coding"
"ENSG00000048707"	"VPS13D"	"protein_coding"
"ENSG00000048991"	"R3HDM1"	"protein_coding"
"ENSG00000049089"	"COL9A2"	"protein_coding"
"ENSG00000049167"	"ERCC8"	"protein_coding"
"ENSG00000049239"	"H6PD"	"protein_coding"
"ENSG00000049245"	"VAMP3"	"protein_coding"
"ENSG00000049246"	"PER3"	"protein_coding"
"ENSG00000049323"	"LTBP1"	"protein_coding"
"ENSG00000050748"	"MAPK9"	"protein_coding"
"ENSG00000050767"	"COL23A1"	"protein_coding"
"ENSG00000051341"	"POLQ"	"protein_coding"
"ENSG00000051382"	"PIK3CB"	"protein_coding"
"ENSG00000052723"	"SIKE1"	"protein_coding"
"ENSG00000052795"	"FNIP2"	"protein_coding"
"ENSG00000052802"	"MSMO1"	"protein_coding"
"ENSG00000053371"	"AKR7A2"	"protein_coding"
"ENSG00000053372"	"MRTO4"	"protein_coding"
"ENSG00000053524"	"MCF2L2"	"protein_coding"
"ENSG00000053900"	"ANAPC4"	"protein_coding"
"ENSG00000054116"	"TRAPPC3"	"protein_coding"
"ENSG00000054118"	"THRAP3"	"protein_coding"
"ENSG00000054267"	"ARID4B"	"protein_coding"
"ENSG00000054277"	"OPN3"	"protein_coding"
"ENSG00000054282"	"SDCCAG8"	"protein_coding"
